T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,485.0,PUT,0.06,0.21,0.15,0.5321,0.6129
0.057,550.0,PUT,0.17,0.32,0.16,0.403,0.4394
0.057,587.0,PUT,0.32,0.42,0.11,0.3276,0.3426
0.057,601.0,PUT,0.42,0.5,0.07,0.3004,0.3082
0.057,614.0,PUT,0.58,0.62,0.04,0.2756,0.2785
0.057,627.0,PUT,0.83,0.83,-0.0,0.2518,0.2517
0.057,641.0,PUT,1.32,1.27,-0.05,0.2286,0.2263
0.057,654.0,PUT,2.15,2.03,-0.11,0.2087,0.2053
0.057,667.0,PUT,3.57,3.43,-0.14,0.1887,0.1857
0.057,709.0,CALL,1.89,2.27,0.39,0.1137,0.1222
0.057,722.0,CALL,0.27,0.45,0.18,0.1018,0.1126
0.057,735.0,CALL,0.07,0.09,0.02,0.1097,0.1145
0.076,540.0,PUT,0.27,0.41,0.14,0.397,0.4215
0.076,605.0,PUT,0.82,0.84,0.02,0.2806,0.2819
0.076,658.0,PUT,3.6,3.46,-0.14,0.2006,0.1976
0.076,672.0,PUT,5.67,5.56,-0.11,0.1796,0.1778
0.076,713.0,CALL,2.16,2.31,0.16,0.1161,0.1192
0.076,735.0,CALL,0.17,0.22,0.05,0.1082,0.1123
0.095,560.0,PUT,0.54,0.64,0.1,0.343,0.3526
0.095,625.0,PUT,1.86,1.88,0.01,0.2415,0.242
0.095,663.0,PUT,5.24,5.19,-0.05,0.1905,0.1898
0.095,676.0,PUT,7.6,7.6,0.01,0.1718,0.1719
0.095,717.0,CALL,2.25,2.29,0.04,0.1164,0.1171
0.095,755.0,CALL,0.1,0.09,-0.01,0.1209,0.1198
0.114,540.0,PUT,0.59,0.68,0.08,0.3647,0.372
0.114,605.0,PUT,1.68,1.65,-0.03,0.2671,0.2661
0.114,655.0,PUT,5.37,5.08,-0.29,0.204,0.1995
0.114,668.0,PUT,7.42,7.07,-0.35,0.1871,0.1825
0.114,709.0,CALL,5.65,5.65,0.0,0.1269,0.127
0.114,723.0,CALL,1.9,1.9,0.01,0.1144,0.1146
0.144,490.0,PUT,0.47,0.57,0.1,0.4196,0.4309
0.144,515.0,PUT,0.64,0.72,0.09,0.3821,0.3899
0.144,528.0,PUT,0.74,0.82,0.08,0.3632,0.3692
0.144,541.0,PUT,0.87,0.95,0.08,0.3439,0.349
0.144,555.0,PUT,1.05,1.12,0.07,0.3241,0.328
0.144,568.0,PUT,1.26,1.33,0.07,0.3059,0.3092
0.144,581.0,PUT,1.54,1.61,0.07,0.2883,0.2911
0.144,622.0,PUT,3.29,3.28,-0.01,0.2385,0.2383
0.144,635.0,PUT,4.3,4.25,-0.06,0.2235,0.2225
0.144,648.0,PUT,5.68,5.57,-0.11,0.2083,0.2068
0.144,662.0,PUT,7.71,7.54,-0.17,0.1917,0.1896
0.144,675.0,PUT,10.32,10.08,-0.25,0.1759,0.1733
0.144,716.0,CALL,4.43,4.82,0.39,0.1178,0.1224
0.144,730.0,CALL,1.58,1.77,0.19,0.1099,0.1135
0.144,743.0,CALL,0.59,0.68,0.09,0.1087,0.1119
0.144,790.0,CALL,0.06,0.07,0.01,0.1319,0.1349
0.191,545.0,PUT,1.48,1.52,0.04,0.3223,0.324
0.191,610.0,PUT,3.81,3.88,0.07,0.246,0.2473
0.191,656.0,PUT,8.67,8.61,-0.06,0.1965,0.1958
0.191,669.0,PUT,11.12,10.95,-0.16,0.1824,0.1809
0.191,710.0,CALL,9.46,9.69,0.24,0.131,0.1331
0.191,724.0,CALL,4.53,4.56,0.03,0.12,0.1203
0.191,737.0,CALL,2.02,2.04,0.01,0.1138,0.114
0.191,750.0,CALL,0.87,0.91,0.04,0.1116,0.1127
0.226,495.0,PUT,1.14,1.1,-0.04,0.3757,0.3736
0.226,560.0,PUT,2.31,2.4,0.08,0.2954,0.2977
0.226,613.0,PUT,4.97,5.07,0.1,0.2393,0.2408
0.226,627.0,PUT,6.21,6.29,0.08,0.2251,0.2261
0.226,640.0,PUT,7.69,7.72,0.03,0.212,0.2124
0.226,653.0,PUT,9.56,9.53,-0.03,0.1989,0.1986
0.226,667.0,PUT,12.19,12.04,-0.15,0.1847,0.1834
0.226,708.0,CALL,12.6,12.71,0.11,0.1375,0.1384
0.226,725.0,CALL,5.89,5.77,-0.13,0.1242,0.123
0.226,741.0,CALL,2.47,2.37,-0.1,0.1164,0.1149
0.226,770.0,CALL,0.48,0.5,0.01,0.115,0.1155
0.268,495.0,PUT,1.5,1.41,-0.09,0.3635,0.3597
0.268,560.0,PUT,2.99,3.06,0.07,0.2894,0.2909
0.268,625.0,PUT,7.28,7.33,0.06,0.2255,0.2262
0.268,660.0,PUT,12.39,12.26,-0.13,0.1922,0.1911
0.268,707.0,CALL,15.84,15.59,-0.24,0.1446,0.1428
0.268,750.0,CALL,2.42,2.16,-0.26,0.1189,0.1151
0.268,820.0,CALL,0.12,0.14,0.02,0.1295,0.1316
0.306,525.0,PUT,2.41,2.43,0.02,0.3191,0.3198
0.306,588.0,PUT,5.05,5.22,0.17,0.2569,0.2594
0.306,602.0,PUT,6.06,6.25,0.18,0.2439,0.2463
0.306,615.0,PUT,7.22,7.4,0.18,0.2321,0.2341
0.306,629.0,PUT,8.76,8.91,0.15,0.2194,0.2209
0.306,642.0,PUT,10.52,10.63,0.11,0.2076,0.2086
0.306,655.0,PUT,12.69,12.72,0.03,0.1959,0.1961
0.306,669.0,PUT,15.62,15.51,-0.11,0.1834,0.1826
0.306,730.0,CALL,8.06,7.57,-0.49,0.1307,0.1268
0.306,795.0,CALL,0.43,0.42,-0.01,0.1199,0.1194
0.361,505.0,PUT,2.54,2.45,-0.09,0.3318,0.3294
0.361,570.0,PUT,5.07,5.17,0.09,0.27,0.2713
0.361,635.0,PUT,11.28,11.29,0.01,0.2141,0.2142
0.361,730.0,CALL,10.42,9.94,-0.48,0.1349,0.1316
0.361,795.0,CALL,0.75,0.69,-0.06,0.12,0.1181
0.361,860.0,CALL,0.1,0.13,0.03,0.1343,0.1389
0.393,530.0,PUT,3.62,3.67,0.05,0.3018,0.3029
0.393,562.0,PUT,5.52,5.26,-0.26,0.2793,0.2756
0.393,576.0,PUT,5.99,6.16,0.17,0.2616,0.2637
0.393,589.0,PUT,6.97,7.15,0.17,0.2508,0.2528
0.393,602.0,PUT,8.13,8.3,0.17,0.2401,0.2418
0.393,616.0,PUT,9.63,9.77,0.14,0.2287,0.2299
0.393,629.0,PUT,11.29,11.39,0.1,0.2181,0.2189
0.393,642.0,PUT,13.27,13.31,0.04,0.2075,0.2078
0.393,725.0,CALL,13.28,13.45,0.17,0.1368,0.1379
0.393,790.0,CALL,1.11,1.07,-0.04,0.1182,0.1174
0.393,855.0,CALL,0.14,0.17,0.03,0.1305,0.1337
0.478,540.0,PUT,5.26,5.28,0.02,0.2864,0.2867
0.478,605.0,PUT,10.54,10.53,-0.01,0.2366,0.2365
0.478,643.0,PUT,16.12,15.89,-0.23,0.2084,0.2069
0.478,665.0,PUT,20.73,20.31,-0.41,0.1922,0.1897
0.478,706.0,CALL,27.24,27.47,0.22,0.1568,0.158
0.478,719.0,CALL,20.28,20.37,0.09,0.148,0.1484
0.478,785.0,CALL,2.56,2.3,-0.27,0.1226,0.1192
0.612,505.0,PUT,5.12,5.0,-0.12,0.3037,0.302
0.612,575.0,PUT,9.98,10.01,0.03,0.2538,0.2541
0.612,640.0,PUT,19.17,18.85,-0.32,0.2114,0.2096
0.612,730.0,CALL,21.22,21.24,0.02,0.1496,0.1497
0.612,800.0,CALL,3.21,2.88,-0.33,0.1258,0.1223
0.612,865.0,CALL,0.48,0.48,-0.0,0.1258,0.1256
0.645,515.0,PUT,5.96,5.9,-0.07,0.2938,0.2929
0.645,585.0,PUT,11.61,11.63,0.02,0.2462,0.2463
0.645,605.0,PUT,14.14,14.07,-0.08,0.2336,0.233
0.645,618.0,PUT,16.07,15.92,-0.15,0.2253,0.2244
0.645,632.0,PUT,18.46,18.2,-0.26,0.2166,0.2151
0.645,645.0,PUT,20.97,20.63,-0.34,0.2083,0.2064
0.645,658.0,PUT,23.84,23.4,-0.44,0.2,0.1978
0.645,672.0,PUT,27.4,26.83,-0.57,0.1913,0.1885
0.645,745.0,CALL,15.79,16.19,0.41,0.1412,0.1432
0.645,815.0,CALL,2.3,2.14,-0.16,0.1241,0.122
0.645,880.0,CALL,0.38,0.4,0.02,0.1264,0.1275
0.862,540.0,PUT,10.42,10.31,-0.11,0.2683,0.2674
0.862,610.0,PUT,19.36,19.0,-0.36,0.2298,0.2278
0.862,675.0,PUT,33.98,33.12,-0.86,0.1952,0.1916
0.862,765.0,CALL,16.57,16.96,0.39,0.1441,0.1459
0.862,835.0,CALL,3.46,3.15,-0.3,0.1294,0.1265
0.897,485.0,PUT,6.78,6.48,-0.3,0.3002,0.2967
0.897,550.0,PUT,11.8,11.74,-0.06,0.2611,0.2607
0.897,620.0,PUT,21.74,21.39,-0.36,0.2239,0.2221
0.897,637.0,PUT,25.15,24.68,-0.47,0.2151,0.2128
0.897,653.0,PUT,28.81,28.23,-0.58,0.2067,0.2041
0.897,668.0,PUT,32.85,32.02,-0.83,0.1995,0.196
0.897,713.0,CALL,41.47,42.54,1.08,0.1681,0.1723
0.897,740.0,CALL,27.29,28.52,1.23,0.154,0.1589
0.897,805.0,CALL,7.34,7.57,0.22,0.1323,0.1336
0.897,870.0,CALL,1.69,1.53,-0.16,0.1277,0.1253
0.938,525.0,PUT,9.94,9.85,-0.09,0.2739,0.2731
0.938,590.0,PUT,17.39,17.26,-0.14,0.2389,0.2381
