T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.054,200.0,0.010000000000000009,99.99999999999991,PUT,0.07,0.0,-0.07,0.5855,0.411
0.054,205.0,0.01999999999999999,50.00000000000003,PUT,0.09,0.0,-0.09,0.5583,0.3964
0.054,210.0,0.01999999999999999,50.00000000000003,PUT,0.11,0.0,-0.11,0.5323,0.3844
0.054,215.0,0.020000000000000018,49.99999999999996,PUT,0.14,0.01,-0.13,0.5091,0.3737
0.054,220.0,0.020000000000000018,49.99999999999996,PUT,0.17,0.02,-0.15,0.4824,0.3637
0.054,230.0,0.010000000000000009,99.99999999999991,PUT,0.26,0.05,-0.2,0.4293,0.344
0.054,235.0,0.030000000000000027,33.33333333333331,PUT,0.33,0.1,-0.23,0.4048,0.3341
0.054,240.0,0.020000000000000018,49.99999999999996,PUT,0.41,0.17,-0.24,0.3789,0.3242
0.054,245.0,0.020000000000000018,49.99999999999996,PUT,0.53,0.29,-0.24,0.354,0.314
0.054,250.0,0.030000000000000027,33.33333333333331,PUT,0.71,0.49,-0.23,0.3314,0.3037
0.054,260.0,0.06000000000000005,16.666666666666654,PUT,1.44,1.3,-0.14,0.2922,0.2826
0.054,265.0,0.05999999999999961,16.666666666666774,PUT,2.15,2.05,-0.1,0.2773,0.2717
0.054,270.0,0.09999999999999964,10.000000000000036,PUT,3.25,3.15,-0.1,0.2656,0.2609
0.054,285.0,0.09999999999999964,10.000000000000036,CALL,3.3,3.37,0.07,0.2281,0.2313
0.054,290.0,0.10999999999999988,9.0909090909091,CALL,1.82,1.88,0.06,0.2216,0.2246
0.054,300.0,0.030000000000000027,33.33333333333331,CALL,0.53,0.47,-0.05,0.2241,0.2189
0.054,305.0,0.030000000000000027,33.33333333333331,CALL,0.28,0.22,-0.06,0.2297,0.219
0.054,310.0,0.020000000000000018,49.99999999999996,CALL,0.17,0.1,-0.07,0.2394,0.2205
0.054,315.0,0.01999999999999999,50.00000000000003,CALL,0.1,0.04,-0.06,0.248,0.2227
0.073,195.0,0.01999999999999999,50.00000000000003,PUT,0.1,0.0,-0.1,0.5567,0.4105
0.073,205.0,0.020000000000000018,49.99999999999996,PUT,0.15,0.01,-0.14,0.5128,0.3894
0.073,210.0,0.030000000000000027,33.33333333333331,PUT,0.18,0.02,-0.16,0.4914,0.3797
0.073,215.0,0.02999999999999997,33.333333333333364,PUT,0.23,0.04,-0.19,0.469,0.3701
0.073,220.0,0.020000000000000018,49.99999999999996,PUT,0.27,0.06,-0.21,0.4454,0.3606
0.073,225.0,0.030000000000000027,33.33333333333331,PUT,0.33,0.1,-0.23,0.4218,0.3511
0.073,235.0,0.030000000000000027,33.33333333333331,PUT,0.49,0.24,-0.25,0.3772,0.3319
0.073,240.0,0.030000000000000027,33.33333333333331,PUT,0.62,0.38,-0.24,0.3558,0.3221
0.073,245.0,0.030000000000000027,33.33333333333331,PUT,0.81,0.59,-0.22,0.3353,0.3121
0.073,250.0,0.029999999999999805,33.33333333333355,PUT,1.06,0.89,-0.17,0.3164,0.302
0.073,260.0,0.05999999999999983,16.666666666666714,PUT,2.03,1.96,-0.07,0.2852,0.2813
0.073,265.0,0.08000000000000007,12.49999999999999,PUT,2.87,2.83,-0.04,0.2725,0.2707
0.073,270.0,0.15000000000000036,6.666666666666651,PUT,4.08,4.03,-0.05,0.2619,0.2601
0.073,285.0,0.09999999999999964,10.000000000000036,CALL,4.25,4.38,0.13,0.2271,0.2316
0.073,290.0,0.13999999999999968,7.142857142857159,CALL,2.58,2.7,0.12,0.22,0.225
0.073,300.0,0.040000000000000036,24.99999999999998,CALL,0.86,0.89,0.03,0.2169,0.2188
