T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,130.0,PUT,0.24,0.2,-0.04,0.7444,0.7256
0.057,140.0,PUT,0.42,0.4,-0.03,0.6721,0.663
0.057,150.0,PUT,0.8,0.73,-0.07,0.6087,0.5963
0.057,160.0,PUT,1.64,1.39,-0.25,0.5644,0.5358
0.057,175.0,PUT,4.68,4.03,-0.64,0.5164,0.4742
0.057,190.0,CALL,6.32,5.71,-0.62,0.4782,0.4425
0.057,200.0,CALL,3.02,2.59,-0.44,0.4615,0.4305
0.057,215.0,CALL,0.82,0.6,-0.23,0.4533,0.4199
0.057,225.0,CALL,0.36,0.19,-0.17,0.4659,0.4174
0.057,235.0,CALL,0.18,0.06,-0.13,0.4891,0.4177
0.076,135.0,PUT,0.43,0.4,-0.03,0.6473,0.6398
0.076,145.0,PUT,0.79,0.76,-0.02,0.5929,0.5888
0.076,155.0,PUT,1.53,1.43,-0.1,0.5523,0.5415
0.076,170.0,PUT,4.07,3.74,-0.33,0.5076,0.4868
0.076,180.0,PUT,7.3,6.85,-0.45,0.4849,0.4618
0.076,195.0,CALL,5.45,5.12,-0.33,0.4559,0.4387
0.076,210.0,CALL,1.89,1.69,-0.2,0.441,0.4248
0.076,220.0,CALL,0.88,0.71,-0.17,0.4412,0.4197
0.076,230.0,CALL,0.42,0.28,-0.15,0.4502,0.4164
0.076,240.0,CALL,0.23,0.1,-0.13,0.4666,0.413
0.095,140.0,PUT,0.77,0.76,-0.01,0.5893,0.5884
0.095,150.0,PUT,1.4,1.41,0.01,0.5476,0.5485
0.095,160.0,PUT,2.63,2.58,-0.05,0.5174,0.5138
0.095,175.0,PUT,6.3,6.09,-0.21,0.4848,0.4746
0.095,190.0,CALL,8.38,8.22,-0.16,0.4555,0.4485
0.095,200.0,CALL,4.7,4.65,-0.05,0.4392,0.4367
0.095,215.0,CALL,1.77,1.69,-0.08,0.4305,0.4244
0.095,225.0,CALL,0.88,0.78,-0.1,0.4306,0.4186
0.095,235.0,CALL,0.46,0.34,-0.12,0.4382,0.4146
0.115,135.0,PUT,0.82,0.73,-0.09,0.6041,0.5891
0.115,145.0,PUT,1.45,1.35,-0.1,0.5656,0.5548
0.115,155.0,PUT,2.55,2.4,-0.15,0.5339,0.5233
0.115,170.0,PUT,5.72,5.42,-0.3,0.4995,0.485
0.115,180.0,PUT,9.22,8.88,-0.35,0.481,0.4666
0.115,195.0,CALL,7.57,7.32,-0.25,0.4565,0.446
0.115,220.0,CALL,1.9,1.68,-0.22,0.4412,0.4252
0.115,240.0,CALL,0.58,0.41,-0.18,0.4475,0.4179
0.191,135.0,PUT,1.52,1.53,0.01,0.5446,0.5454
0.191,145.0,PUT,2.5,2.62,0.13,0.5174,0.5256
0.191,160.0,PUT,5.05,5.37,0.32,0.4852,0.4989
0.191,170.0,PUT,7.78,8.19,0.42,0.4684,0.4834
0.191,180.0,PUT,11.52,12.0,0.47,0.4548,0.47
0.191,200.0,CALL,8.6,9.07,0.47,0.4326,0.4478
0.191,220.0,CALL,3.67,3.92,0.24,0.4217,0.4321
0.191,240.0,CALL,1.51,1.5,-0.01,0.4233,0.4225
0.268,140.0,PUT,3.05,3.11,0.06,0.5168,0.5202
0.268,150.0,PUT,4.6,4.85,0.25,0.4953,0.506
0.268,160.0,PUT,6.88,7.25,0.37,0.48,0.4929
