T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,130.0,0.010000000000000009,0.010000000000000009,PUT,0.27,0.24,-0.02,0.7558,0.7444
0.057,140.0,0.009999999999999953,0.01,PUT,0.46,0.43,-0.03,0.683,0.6732
0.057,150.0,0.020000000000000018,0.020000000000000018,PUT,0.86,0.75,-0.11,0.6193,0.5995
0.057,160.0,0.020000000000000018,0.020000000000000018,PUT,1.73,1.38,-0.35,0.573,0.5335
0.057,170.0,0.10000000000000009,0.10000000000000009,PUT,3.45,2.77,-0.68,0.5366,0.4855
0.057,190.0,0.05000000000000071,0.05000000000000071,CALL,6.38,5.55,-0.83,0.4847,0.4369
0.057,200.0,0.10000000000000009,0.10000000000000009,CALL,3.05,2.49,-0.56,0.466,0.4256
0.057,210.0,0.030000000000000027,0.030000000000000027,CALL,1.31,0.96,-0.34,0.4572,0.4189
0.057,220.0,0.010000000000000009,0.010000000000000009,CALL,0.55,0.33,-0.21,0.4606,0.4172
0.057,230.0,0.010000000000000009,0.010000000000000009,CALL,0.24,0.11,-0.13,0.475,0.4205
0.076,135.0,0.009999999999999953,0.01,PUT,0.46,0.45,-0.02,0.6562,0.6509
0.076,145.0,0.020000000000000018,0.020000000000000018,PUT,0.84,0.79,-0.05,0.6013,0.5935
0.076,155.0,0.030000000000000027,0.030000000000000027,PUT,1.6,1.44,-0.17,0.5592,0.5413
0.076,165.0,0.050000000000000266,0.050000000000000266,PUT,3.08,2.69,-0.38,0.5269,0.4989
0.076,180.0,0.04999999999999982,0.04999999999999982,PUT,7.47,6.78,-0.7,0.4917,0.456
0.076,195.0,0.04999999999999982,0.04999999999999982,CALL,5.47,4.96,-0.51,0.46,0.4332
0.076,205.0,0.040000000000000036,0.040000000000000036,CALL,2.78,2.4,-0.38,0.4487,0.4236
0.076,215.0,0.020000000000000018,0.020000000000000018,CALL,1.3,1.05,-0.25,0.4427,0.418
0.076,225.0,0.020000000000000018,0.020000000000000018,CALL,0.6,0.43,-0.17,0.4452,0.416
0.095,130.0,0.009999999999999953,0.01,PUT,0.46,0.45,-0.01,0.6465,0.6428
0.095,140.0,0.019999999999999907,0.019999999999999907,PUT,0.81,0.81,-0.0,0.5951,0.595
0.095,150.0,0.030000000000000027,0.030000000000000027,PUT,1.46,1.44,-0.03,0.5531,0.5501
0.095,160.0,0.040000000000000036,0.040000000000000036,PUT,2.71,2.57,-0.14,0.522,0.5117
0.095,170.0,0.05000000000000071,0.05000000000000071,PUT,4.88,4.57,-0.3,0.4983,0.4819
0.095,190.0,0.09999999999999964,0.09999999999999964,CALL,8.35,8.04,-0.31,0.4572,0.4436
0.095,200.0,0.09999999999999964,0.09999999999999964,CALL,4.75,4.51,-0.24,0.4438,0.4321
0.095,210.0,0.029999999999999805,0.029999999999999805,CALL,2.5,2.33,-0.18,0.4353,0.424
0.095,220.0,0.030000000000000027,0.030000000000000027,CALL,1.25,1.11,-0.14,0.4319,0.4184
0.095,235.0,0.020000000000000018,0.020000000000000018,CALL,0.45,0.33,-0.12,0.4386,0.4151
0.114,135.0,0.020000000000000018,0.020000000000000018,PUT,0.86,0.8,-0.06,0.6089,0.5986
0.114,145.0,0.010000000000000009,0.010000000000000009,PUT,1.5,1.4,-0.1,0.5704,0.5596
0.114,155.0,0.009999999999999787,0.01,PUT,2.62,2.43,-0.19,0.5383,0.5242
0.114,165.0,0.04999999999999982,0.04999999999999982,PUT,4.53,4.16,-0.36,0.5142,0.4945
0.114,180.0,0.09999999999999964,0.09999999999999964,PUT,9.35,8.84,-0.51,0.4844,0.463
0.114,195.0,0.10000000000000053,0.10000000000000053,CALL,7.65,7.18,-0.47,0.4619,0.4423
0.114,210.0,0.050000000000000266,0.050000000000000266,CALL,3.42,3.1,-0.33,0.4466,0.429
0.114,230.0,0.010000000000000009,0.010000000000000009,CALL,1.06,0.82,-0.23,0.4443,0.4194
0.191,135.0,0.010000000000000009,0.010000000000000009,PUT,1.58,1.62,0.03,0.5494,0.5522
0.191,150.0,0.09999999999999964,0.09999999999999964,PUT,3.25,3.44,0.19,0.5089,0.5193
0.191,160.0,0.04999999999999982,0.04999999999999982,PUT,5.18,5.41,0.23,0.4896,0.4996
0.191,170.0,0.04999999999999982,0.04999999999999982,PUT,7.93,8.21,0.29,0.4726,0.4828
0.191,180.0,0.09999999999999964,0.09999999999999964,PUT,11.65,12.0,0.35,0.4573,0.4684
0.191,200.0,0.05000000000000071,0.05000000000000071,CALL,8.62,8.95,0.32,0.4351,0.4456
0.191,220.0,0.04999999999999982,0.04999999999999982,CALL,3.73,3.85,0.12,0.4251,0.4304
0.268,130.0,0.020000000000000018,0.020000000000000018,PUT,2.01,2.0,-0.01,0.5429,0.5422
0.268,140.0,0.10000000000000009,0.10000000000000009,PUT,3.1,3.22,0.12,0.5188,0.5252
0.268,150.0,0.09999999999999964,0.09999999999999964,PUT,4.7,4.94,0.24,0.4987,0.509
0.268,165.0,0.05000000000000071,0.05000000000000071,PUT,8.38,8.78,0.41,0.4746,0.4875
0.268,175.0,0.09999999999999964,0.09999999999999964,PUT,11.85,12.34,0.49,0.4614,0.4752
0.268,190.0,0.05000000000000071,0.05000000000000071,CALL,15.53,16.01,0.48,0.4467,0.4593
0.268,200.0,0.09999999999999964,0.09999999999999964,CALL,11.45,11.9,0.45,0.4384,0.4503
0.268,220.0,0.10000000000000053,0.10000000000000053,CALL,5.9,6.12,0.22,0.4287,0.4358
0.361,132.0,0.04999999999999982,0.04999999999999982,PUT,3.38,3.24,-0.13,0.5308,0.524
0.361,135.0,0.04999999999999982,0.04999999999999982,PUT,3.77,3.68,-0.09,0.5243,0.5201
0.361,138.0,0.09999999999999964,0.09999999999999964,PUT,4.25,4.17,-0.08,0.5195,0.5161
0.361,142.0,0.09999999999999964,0.09999999999999964,PUT,4.95,4.89,-0.06,0.5132,0.5109
0.361,146.0,0.04999999999999982,0.04999999999999982,PUT,5.72,5.7,-0.02,0.5067,0.5059
0.361,150.0,0.10000000000000053,0.10000000000000053,PUT,6.6,6.61,0.01,0.5008,0.501
0.361,154.0,0.10000000000000053,0.10000000000000053,PUT,7.6,7.61,0.01,0.4959,0.4961
0.361,156.0,0.14999999999999858,0.14999999999999858,PUT,8.12,8.15,0.02,0.4932,0.4938
0.361,160.0,0.15000000000000036,0.15000000000000036,PUT,9.27,9.31,0.04,0.4883,0.4893
0.361,165.0,0.09999999999999964,0.09999999999999964,PUT,10.85,10.92,0.07,0.482,0.4839
0.361,167.0,0.15000000000000036,0.15000000000000036,PUT,11.57,11.62,0.04,0.4807,0.4818
0.361,169.0,0.09999999999999964,0.09999999999999964,PUT,12.3,12.34,0.04,0.4787,0.4797
0.361,171.0,0.09999999999999964,0.09999999999999964,PUT,13.05,13.09,0.04,0.4766,0.4777
0.361,173.0,0.15000000000000036,0.15000000000000036,PUT,13.82,13.88,0.05,0.4744,0.4757
0.361,176.0,0.15000000000000036,0.15000000000000036,PUT,15.07,15.11,0.03,0.472,0.4728
0.361,178.0,0.09999999999999964,0.09999999999999964,PUT,15.95,15.97,0.02,0.4704,0.4709
0.361,180.0,0.09999999999999787,0.09999999999999787,PUT,16.85,16.86,0.01,0.4688,0.469
0.361,190.0,0.09999999999999787,0.09999999999999787,CALL,19.15,19.16,0.01,0.4601,0.4604
0.361,193.0,0.10000000000000142,0.10000000000000142,CALL,17.8,17.83,0.03,0.4573,0.4579
0.361,195.0,0.15000000000000213,0.15000000000000213,CALL,16.98,16.98,0.0,0.4563,0.4564
0.361,205.0,0.10000000000000142,0.10000000000000142,CALL,13.25,13.17,-0.08,0.4508,0.4489
0.361,212.0,0.09999999999999964,0.09999999999999964,CALL,11.05,10.93,-0.12,0.4473,0.4444
0.361,214.0,0.15000000000000036,0.15000000000000036,CALL,10.48,10.34,-0.13,0.4463,0.4431
0.361,217.0,0.15000000000000036,0.15000000000000036,CALL,9.68,9.51,-0.16,0.4452,0.4413
0.361,219.0,0.09999999999999964,0.09999999999999964,CALL,9.2,8.99,-0.21,0.4453,0.4401
0.361,221.0,0.09999999999999964,0.09999999999999964,CALL,8.7,8.49,-0.21,0.4441,0.4389
0.361,223.0,0.10000000000000142,0.10000000000000142,CALL,8.25,8.02,-0.23,0.4438,0.4377
0.361,225.0,0.04999999999999982,0.04999999999999982,CALL,7.82,7.56,-0.26,0.4435,0.4366
0.361,228.0,0.09999999999999964,0.09999999999999964,CALL,7.2,6.92,-0.28,0.4425,0.435
0.361,235.0,0.04999999999999982,0.04999999999999982,CALL,5.93,5.6,-0.32,0.4408,0.4313
0.44,135.0,0.10000000000000053,0.10000000000000053,PUT,4.6,4.64,0.04,0.5115,0.513
0.44,145.0,0.09999999999999964,0.09999999999999964,PUT,6.55,6.68,0.13,0.4976,0.5018
0.44,160.0,0.09999999999999964,0.09999999999999964,PUT,10.55,10.82,0.27,0.4794,0.4863
0.44,170.0,0.05000000000000071,0.05000000000000071,PUT,14.12,14.39,0.26,0.471,0.477
0.44,180.0,0.09999999999999787,0.09999999999999787,PUT,18.4,18.65,0.25,0.4635,0.4687
0.44,195.0,0.14999999999999858,0.14999999999999858,CALL,19.12,19.39,0.27,0.4523,0.4578
0.44,210.0,0.09999999999999964,0.09999999999999964,CALL,13.65,13.82,0.17,0.4442,0.4479
0.536,130.0,0.09999999999999964,0.09999999999999964,PUT,4.75,4.7,-0.05,0.5103,0.5085
0.536,140.0,0.10000000000000053,0.10000000000000053,PUT,6.65,6.73,0.08,0.4969,0.4994
0.536,150.0,0.09999999999999964,0.09999999999999964,PUT,9.1,9.29,0.19,0.4857,0.4906
0.536,160.0,0.15000000000000036,0.15000000000000036,PUT,12.18,12.43,0.25,0.4769,0.4826
0.536,170.0,0.14999999999999858,0.14999999999999858,PUT,15.88,16.17,0.3,0.4689,0.4751
0.536,190.0,0.09999999999999787,0.09999999999999787,CALL,23.85,24.16,0.31,0.4551,0.4609
0.536,200.0,0.10000000000000142,0.10000000000000142,CALL,19.7,19.95,0.25,0.4499,0.4544
0.536,220.0,0.10000000000000142,0.10000000000000142,CALL,13.25,13.2,-0.05,0.4435,0.4426
0.613,130.0,0.10000000000000053,0.10000000000000053,PUT,5.65,5.41,-0.24,0.5107,0.5027
0.613,145.0,0.15000000000000036,0.15000000000000036,PUT,9.02,8.89,-0.14,0.4943,0.4907
0.613,155.0,0.15000000000000036,0.15000000000000036,PUT,11.98,11.89,-0.09,0.4856,0.4836
0.613,165.0,0.1999999999999993,0.1999999999999993,PUT,15.5,15.46,-0.04,0.4778,0.4769
0.613,175.0,0.14999999999999858,0.14999999999999858,PUT,19.68,19.6,-0.07,0.4719,0.4705
0.613,190.0,0.09999999999999787,0.09999999999999787,CALL,26.15,26.1,-0.05,0.462,0.4611
0.613,210.0,0.15000000000000213,0.15000000000000213,CALL,18.48,18.23,-0.24,0.454,0.4497
0.613,230.0,0.09999999999999964,0.09999999999999964,CALL,12.9,12.37,-0.53,0.4499,0.4399
0.785,135.0,0.14999999999999858,0.14999999999999858,PUT,8.62,8.18,-0.45,0.5031,0.4918
0.785,145.0,0.1999999999999993,0.1999999999999993,PUT,11.35,10.89,-0.46,0.4949,0.4849
0.785,155.0,0.15000000000000036,0.15000000000000036,PUT,14.57,14.13,-0.44,0.4874,0.4787
0.785,170.0,0.1999999999999993,0.1999999999999993,PUT,20.45,19.98,-0.47,0.4785,0.4704
0.785,180.0,0.14999999999999858,0.14999999999999858,PUT,25.12,24.52,-0.6,0.475,0.4652
0.785,195.0,0.1999999999999993,0.1999999999999993,CALL,28.4,27.85,-0.55,0.4661,0.4576
0.785,210.0,0.14999999999999858,0.14999999999999858,CALL,22.82,22.13,-0.69,0.4612,0.4506
0.862,130.0,0.09999999999999964,0.09999999999999964,PUT,8.15,7.61,-0.54,0.5052,0.4914
0.862,134.0,0.14999999999999858,0.14999999999999858,PUT,9.12,8.59,-0.54,0.5017,0.4888
0.862,136.0,0.14999999999999858,0.14999999999999858,PUT,9.62,9.11,-0.52,0.4997,0.4875
0.862,140.0,0.15000000000000036,0.15000000000000036,PUT,10.68,10.2,-0.47,0.4956,0.4851
0.862,144.0,0.14999999999999858,0.14999999999999858,PUT,11.88,11.38,-0.5,0.4932,0.4828
0.862,148.0,0.14999999999999858,0.14999999999999858,PUT,13.12,12.63,-0.5,0.4904,0.4804
0.862,152.0,0.20000000000000107,0.20000000000000107,PUT,14.45,13.96,-0.49,0.4876,0.4782
0.862,155.0,0.1999999999999993,0.1999999999999993,PUT,15.5,15.01,-0.49,0.4856,0.4765
0.862,158.0,0.1999999999999993,0.1999999999999993,PUT,16.6,16.11,-0.49,0.4838,0.4749
0.862,162.0,0.1999999999999993,0.1999999999999993,PUT,18.15,17.64,-0.51,0.4817,0.4728
0.862,166.0,0.15000000000000213,0.15000000000000213,PUT,19.77,19.26,-0.51,0.4795,0.4708
0.862,168.0,0.1999999999999993,0.1999999999999993,PUT,20.65,20.1,-0.55,0.479,0.4698
