T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,485.0,0.010000000000000009,99.99999999999991,PUT,0.07,0.02,-0.05,0.5385,0.48
0.057,550.0,0.009999999999999981,100.0,PUT,0.17,0.18,0.01,0.4036,0.4061
0.057,587.0,0.010000000000000009,99.99999999999991,PUT,0.34,0.49,0.15,0.3282,0.3476
0.057,601.0,0.010000000000000009,99.99999999999991,PUT,0.43,0.68,0.24,0.299,0.3224
0.057,614.0,0.010000000000000009,99.99999999999991,PUT,0.59,0.93,0.34,0.2743,0.2988
0.057,628.0,0.010000000000000009,99.99999999999991,PUT,0.89,1.35,0.47,0.2491,0.2735
0.057,641.0,0.019999999999999796,50.00000000000051,PUT,1.38,1.95,0.57,0.2282,0.2498
0.057,655.0,0.020000000000000018,49.99999999999996,PUT,2.33,2.97,0.64,0.2067,0.2241
0.057,668.0,0.020000000000000018,49.99999999999996,PUT,3.87,4.57,0.7,0.1866,0.2008
0.057,709.0,0.010000000000000009,99.99999999999991,CALL,1.71,2.16,0.45,0.113,0.1232
0.057,722.0,0.010000000000000009,99.99999999999991,CALL,0.26,0.45,0.19,0.1028,0.1148
0.057,736.0,0.009999999999999995,100.0,CALL,0.06,0.11,0.06,0.1112,0.1219
0.076,535.0,0.010000000000000009,99.99999999999991,PUT,0.26,0.18,-0.07,0.4061,0.3892
0.076,605.0,0.010000000000000009,99.99999999999991,PUT,0.83,1.14,0.31,0.2794,0.2973
0.076,658.0,0.020000000000000018,49.99999999999996,PUT,3.71,4.55,0.84,0.1997,0.2162
0.076,672.0,0.019999999999999574,50.000000000001066,PUT,5.88,6.74,0.86,0.1794,0.1928
0.076,712.0,0.020000000000000018,49.99999999999996,CALL,2.19,2.4,0.21,0.1161,0.1201
0.076,730.0,0.010000000000000009,99.99999999999991,CALL,0.26,0.38,0.13,0.1059,0.114
0.095,555.0,0.010000000000000009,99.99999999999991,PUT,0.52,0.45,-0.07,0.351,0.3436
0.095,625.0,0.020000000000000018,49.99999999999996,PUT,1.91,2.59,0.68,0.2407,0.2608
0.095,662.0,0.02999999999999936,33.333333333334046,PUT,5.25,6.34,1.09,0.1916,0.2086
0.095,676.0,0.040000000000000036,24.99999999999998,PUT,7.85,8.92,1.07,0.1717,0.1857
0.095,716.0,0.020000000000000018,49.99999999999996,CALL,2.29,2.33,0.04,0.1165,0.1172
0.095,750.0,0.009999999999999995,100.0,CALL,0.11,0.16,0.05,0.1171,0.1231
0.114,530.0,0.010000000000000009,99.99999999999991,PUT,0.54,0.32,-0.22,0.3805,0.3532
0.114,600.0,0.020000000000000018,49.99999999999996,PUT,1.55,1.88,0.33,0.2731,0.2851
0.114,653.0,0.020000000000000462,49.99999999999885,PUT,5.23,6.12,0.89,0.206,0.2197
0.114,667.0,0.03000000000000025,33.33333333333306,PUT,7.45,8.29,0.84,0.1882,0.1991
0.114,707.0,0.03000000000000025,33.33333333333306,CALL,6.1,6.29,0.19,0.128,0.1303
0.114,721.0,0.029999999999999805,33.33333333333355,CALL,2.08,2.06,-0.01,0.1148,0.1145
0.114,770.0,0.009999999999999995,100.0,CALL,0.08,0.11,0.04,0.1287,0.1351
0.144,510.0,0.010000000000000009,99.99999999999991,PUT,0.61,0.28,-0.33,0.3897,0.35
0.144,524.0,0.010000000000000009,99.99999999999991,PUT,0.72,0.42,-0.31,0.3689,0.3397
0.144,537.0,0.010000000000000009,99.99999999999991,PUT,0.84,0.59,-0.26,0.3494,0.3299
0.144,551.0,0.010000000000000009,99.99999999999991,PUT,1.02,0.84,-0.17,0.3294,0.319
0.144,564.0,0.020000000000000018,49.99999999999996,PUT,1.2,1.16,-0.04,0.3104,0.3086
0.144,578.0,0.020000000000000018,49.99999999999996,PUT,1.49,1.62,0.13,0.2918,0.2968
0.144,610.0,0.020000000000000018,49.99999999999996,PUT,2.64,3.25,0.61,0.2521,0.2665
0.144,632.0,0.019999999999999574,50.000000000001066,PUT,4.13,5.06,0.93,0.2265,0.2424
0.144,645.0,0.03000000000000025,33.33333333333306,PUT,5.45,6.52,1.07,0.2115,0.2269
0.144,659.0,0.03000000000000025,33.33333333333306,PUT,7.38,8.53,1.15,0.195,0.2089
0.144,672.0,0.03999999999999915,25.000000000000533,PUT,9.9,10.91,1.01,0.1796,0.1904
0.144,713.0,0.03000000000000025,33.33333333333306,CALL,5.12,5.54,0.43,0.1196,0.1245
0.144,726.0,0.029999999999999805,33.33333333333355,CALL,2.01,2.16,0.15,0.1109,0.1134
0.144,740.0,0.020000000000000018,49.99999999999996,CALL,0.67,0.84,0.17,0.1078,0.1132
0.144,765.0,0.010000000000000009,99.99999999999991,CALL,0.14,0.23,0.1,0.1157,0.1249
0.191,535.0,0.020000000000000018,49.99999999999996,PUT,1.34,0.92,-0.42,0.3351,0.3138
0.191,600.0,0.029999999999999805,33.33333333333355,PUT,3.29,3.79,0.5,0.2565,0.2667
0.191,654.0,0.040000000000000924,24.999999999999424,PUT,8.54,9.81,1.27,0.1987,0.2123
0.191,667.0,0.040000000000000924,24.999999999999424,PUT,10.95,12.15,1.2,0.1848,0.1963
0.191,708.0,0.030000000000001137,33.33333333333207,CALL,9.96,10.53,0.57,0.1318,0.1368
0.191,721.0,0.020000000000000462,49.99999999999885,CALL,5.1,5.01,-0.09,0.1211,0.1201
0.191,735.0,0.009999999999999787,100.0,CALL,2.17,2.07,-0.09,0.1139,0.1124
0.191,748.0,0.020000000000000018,49.99999999999996,CALL,0.92,0.99,0.07,0.1112,0.1131
0.191,815.0,0.009999999999999995,100.0,CALL,0.06,0.08,0.03,0.1385,0.1445
0.227,545.0,0.020000000000000018,49.99999999999996,PUT,1.96,1.59,-0.37,0.3127,0.3001
0.227,611.0,0.02999999999999936,33.333333333334046,PUT,4.92,5.61,0.7,0.2414,0.2517
