T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,485.0,PUT,0.06,0.19,0.13,0.5321,0.6061
0.057,550.0,PUT,0.17,0.29,0.13,0.403,0.4339
0.057,587.0,PUT,0.32,0.39,0.08,0.3276,0.3384
0.057,601.0,PUT,0.42,0.46,0.04,0.3003,0.3047
0.057,614.0,PUT,0.58,0.59,0.01,0.2755,0.276
0.057,627.0,PUT,0.83,0.81,-0.02,0.2518,0.2503
0.057,641.0,PUT,1.32,1.26,-0.06,0.2286,0.226
0.057,654.0,PUT,2.15,2.05,-0.09,0.2086,0.2059
0.057,667.0,PUT,3.57,3.49,-0.08,0.1887,0.187
0.057,709.0,CALL,1.89,2.41,0.53,0.1137,0.1252
0.057,722.0,CALL,0.27,0.5,0.23,0.1018,0.115
0.057,735.0,CALL,0.07,0.1,0.03,0.1097,0.1157
0.076,540.0,PUT,0.27,0.37,0.11,0.397,0.4162
0.076,605.0,PUT,0.82,0.8,-0.02,0.2806,0.2796
0.076,658.0,PUT,3.6,3.51,-0.1,0.2006,0.1985
0.076,672.0,PUT,5.67,5.65,-0.02,0.1796,0.1793
0.076,713.0,CALL,2.16,2.47,0.31,0.1161,0.1222
0.076,735.0,CALL,0.17,0.24,0.07,0.1082,0.1139
0.095,560.0,PUT,0.54,0.6,0.06,0.3429,0.3484
0.095,625.0,PUT,1.86,1.86,-0.01,0.2415,0.2413
0.095,663.0,PUT,5.24,5.27,0.03,0.1905,0.1909
0.095,676.0,PUT,7.6,7.73,0.14,0.1718,0.1736
0.095,717.0,CALL,2.25,2.45,0.2,0.1164,0.12
0.095,755.0,CALL,0.1,0.09,-0.0,0.1209,0.1202
0.114,540.0,PUT,0.59,0.63,0.03,0.3647,0.3676
0.114,605.0,PUT,1.68,1.62,-0.06,0.2671,0.2647
0.114,655.0,PUT,5.37,5.13,-0.23,0.204,0.2004
0.114,668.0,PUT,7.42,7.18,-0.24,0.1871,0.1839
0.114,709.0,CALL,5.65,5.89,0.24,0.1269,0.1299
0.114,723.0,CALL,1.9,2.05,0.15,0.1144,0.1173
0.144,490.0,PUT,0.47,0.53,0.05,0.4196,0.4258
0.144,515.0,PUT,0.64,0.67,0.04,0.3821,0.3854
0.144,528.0,PUT,0.74,0.77,0.02,0.3632,0.365
0.144,541.0,PUT,0.87,0.89,0.02,0.3439,0.3453
0.144,555.0,PUT,1.05,1.06,0.01,0.3241,0.3248
0.144,568.0,PUT,1.26,1.27,0.01,0.3059,0.3065
0.144,581.0,PUT,1.54,1.55,0.02,0.2883,0.289
