T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.046,5200.0,PUT,0.55,0.11,-0.44,0.4794,0.4173
0.046,6625.0,PUT,21.8,25.35,3.55,0.189,0.1991
0.046,6960.0,CALL,51.25,56.91,5.66,0.1259,0.1358
0.049,6050.0,PUT,3.15,3.64,0.49,0.2929,0.2996
0.049,6770.0,PUT,46.45,49.48,3.03,0.1667,0.1726
0.049,7075.0,CALL,13.55,16.87,3.32,0.1072,0.1158
0.052,6375.0,PUT,9.65,11.71,2.06,0.2315,0.2419
0.052,6900.0,CALL,92.6,96.53,3.93,0.1416,0.1479
0.054,5900.0,PUT,3.2,2.77,-0.43,0.3235,0.3167
0.054,6780.0,PUT,56.6,56.24,-0.36,0.1713,0.1706
0.054,7125.0,CALL,9.55,10.46,0.91,0.1084,0.1113
0.057,5410.0,PUT,1.55,0.52,-1.03,0.4216,0.374
0.057,5725.0,PUT,2.65,1.68,-0.97,0.3578,0.3369
0.057,6030.0,PUT,4.9,4.45,-0.45,0.2974,0.2928
0.057,6255.0,PUT,8.7,9.08,0.38,0.2553,0.2576
0.057,6440.0,PUT,16.25,16.77,0.52,0.2256,0.2274
0.057,6630.0,PUT,33.45,33.0,-0.45,0.197,0.1959
0.057,6815.0,PUT,68.1,66.83,-1.27,0.1662,0.1642
0.057,7005.0,CALL,47.0,45.03,-1.97,0.1307,0.1275
0.057,7190.0,CALL,4.4,4.9,0.5,0.1059,0.1084
0.065,6025.0,PUT,5.55,5.56,0.01,0.2859,0.2859
0.065,6870.0,PUT,87.5,89.03,1.53,0.1517,0.1539
0.068,5800.0,PUT,3.85,2.94,-0.91,0.3254,0.3128
0.068,6890.0,PUT,96.9,97.76,0.86,0.1492,0.1504
0.071,6100.0,PUT,7.9,7.9,-0.0,0.2708,0.2707
0.071,6950.0,CALL,83.1,83.58,0.48,0.138,0.1387
0.074,6550.0,PUT,32.4,34.04,1.64,0.2033,0.2069
0.074,7250.0,CALL,3.9,4.37,0.47,0.1051,0.1075
0.076,6350.0,PUT,18.8,19.11,0.31,0.2334,0.2344
0.076,6670.0,PUT,51.05,51.44,0.39,0.1873,0.1879
0.076,6900.0,CALL,120.15,118.51,-1.64,0.1504,0.1482
0.076,7120.0,CALL,22.3,19.81,-2.49,0.1176,0.1126
0.085,6325.0,PUT,18.9,20.65,1.75,0.2303,0.2357
0.085,7300.0,CALL,3.15,3.91,0.76,0.1045,0.1088
0.096,6025.0,PUT,11.65,10.37,-1.28,0.2731,0.2668
0.096,6625.0,PUT,54.45,56.24,1.79,0.1914,0.1942
0.096,6930.0,CALL,117.3,115.49,-1.81,0.146,0.1439
0.096,7350.0,CALL,3.3,3.34,0.04,0.1086,0.1089
0.104,6925.0,CALL,122.9,125.16,2.26,0.1428,0.1454
0.114,5625.0,PUT,8.05,4.54,-3.51,0.3271,0.2983
0.114,5940.0,PUT,13.85,11.42,-2.43,0.2814,0.2706
0.114,6260.0,PUT,26.25,26.94,0.69,0.2367,0.2384
0.114,6445.0,PUT,41.0,42.82,1.82,0.2136,0.2169
0.114,6635.0,PUT,66.4,67.73,1.33,0.1897,0.1915
0.114,6820.0,PUT,107.8,106.12,-1.68,0.1655,0.1636
0.114,7010.0,CALL,88.95,83.24,-5.71,0.138,0.1317
0.114,7195.0,CALL,23.75,19.95,-3.8,0.1171,0.1104
0.114,7490.0,CALL,2.05,1.84,-0.21,0.1144,0.1125
0.134,6250.0,PUT,32.6,32.17,-0.43,0.236,0.2351
0.134,6800.0,PUT,112.5,111.28,-1.22,0.1677,0.1664
0.134,7110.0,CALL,57.6,50.65,-6.95,0.1272,0.1191
0.145,5325.0,PUT,8.0,3.25,-4.75,0.3552,0.3106
0.145,5615.0,PUT,11.7,7.43,-4.27,0.3136,0.2894
0.145,5830.0,PUT,16.2,13.2,-3.0,0.2845,0.2728
0.145,6125.0,PUT,27.7,27.25,-0.45,0.2482,0.2471
0.145,6325.0,PUT,41.5,42.96,1.46,0.2246,0.2272
0.145,6510.0,PUT,61.5,64.15,2.65,0.2028,0.2064
0.145,6700.0,PUT,93.05,95.56,2.51,0.1791,0.1819
0.145,6885.0,PUT,142.5,141.37,-1.13,0.1557,0.1546
0.145,7075.0,CALL,75.7,71.71,-3.99,0.1298,0.1256
0.145,7265.0,CALL,21.0,18.51,-2.49,0.114,0.1097
0.145,7450.0,CALL,4.85,5.0,0.15,0.1096,0.1102
0.145,7740.0,CALL,0.85,0.76,-0.09,0.1205,0.1188
0.191,5820.0,PUT,24.95,20.56,-4.39,0.277,0.265
0.191,6130.0,PUT,40.15,40.0,-0.15,0.2409,0.2406
0.191,6420.0,PUT,66.85,70.33,3.48,0.2092,0.2135
0.191,6610.0,PUT,96.3,99.68,3.38,0.1893,0.1928
0.191,6795.0,PUT,135.55,139.18,3.63,0.1667,0.1699
0.191,6985.0,CALL,152.9,150.04,-2.86,0.1464,0.144
0.191,7175.0,CALL,64.8,57.39,-7.41,0.1274,0.12
0.191,7490.0,CALL,8.85,8.21,-0.64,0.1124,0.1106
0.227,5500.0,PUT,20.95,13.85,-7.1,0.3067,0.2823
0.227,5940.0,PUT,38.1,34.4,-3.7,0.2585,0.2515
0.227,6275.0,PUT,63.7,64.07,0.37,0.2238,0.2242
0.227,6515.0,PUT,94.4,96.83,2.43,0.199,0.2014
0.227,6715.0,PUT,133.1,135.0,1.9,0.1781,0.1797
0.227,6920.0,CALL,215.7,214.03,-1.67,0.1559,0.1547
0.227,7125.0,CALL,104.15,95.8,-8.35,0.1357,0.1288
0.227,7370.0,CALL,30.6,24.77,-5.83,0.1192,0.1114
0.227,7650.0,CALL,5.85,5.44,-0.41,0.114,0.1125
0.267,5775.0,PUT,38.15,31.65,-6.5,0.2716,0.259
0.267,6090.0,PUT,58.2,55.12,-3.08,0.2399,0.2358
0.267,6410.0,PUT,92.65,93.12,0.47,0.2086,0.2091
0.267,6650.0,PUT,134.15,135.23,1.08,0.1851,0.186
0.267,6850.0,PUT,186.3,183.85,-2.45,0.1661,0.1643
0.267,7050.0,CALL,165.95,157.0,-8.95,0.1473,0.141
0.267,7340.0,CALL,52.3,41.1,-11.2,0.126,0.1147
0.306,5350.0,PUT,27.45,18.01,-9.44,0.3088,0.2829
0.306,6425.0,PUT,107.6,107.07,-0.53,0.2066,0.2061
0.306,6825.0,PUT,192.75,191.82,-0.93,0.1693,0.1687
0.306,7200.0,CALL,114.05,102.78,-11.27,0.1369,0.1288
0.361,5550.0,PUT,43.4,33.8,-9.6,0.2832,0.2662
0.361,6170.0,PUT,90.45,86.1,-4.35,0.2284,0.2242
0.361,6480.0,PUT,134.15,133.23,-0.92,0.2016,0.2009
0.361,6790.0,PUT,202.65,202.52,-0.13,0.1746,0.1745
0.361,7110.0,CALL,183.2,177.06,-6.14,0.1473,0.1435
