T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.043,5700.0,0.25,4.0,PUT,1.07,3.54,2.47,0.3837,0.4479
0.043,6375.0,0.8000000000000007,1.249999999999999,PUT,6.0,11.16,5.16,0.2399,0.2734
0.043,6680.0,0.8999999999999986,1.111111111111113,PUT,23.35,25.03,1.68,0.188,0.1927
0.043,7090.0,0.6000000000000014,1.6666666666666627,CALL,11.6,11.23,-0.37,0.1027,0.1016
0.045,6125.0,0.75,1.3333333333333333,PUT,3.33,7.74,4.42,0.2905,0.3359
0.045,6525.0,0.8000000000000007,1.249999999999999,PUT,12.9,16.98,4.08,0.2146,0.231
0.045,6730.0,0.9000000000000057,1.111111111111104,PUT,32.65,32.11,-0.54,0.1813,0.18
0.045,7175.0,0.2999999999999998,3.3333333333333353,CALL,2.85,4.37,1.52,0.0953,0.1043
0.048,6225.0,0.8000000000000007,1.249999999999999,PUT,5.1,9.81,4.71,0.2695,0.3054
0.048,6625.0,1.0,1.0,PUT,22.5,24.22,1.72,0.2,0.205
0.048,7075.0,1.0,1.0,CALL,19.9,16.67,-3.23,0.1105,0.1029
0.051,6125.0,0.5,2.0,PUT,4.75,8.84,4.09,0.291,0.3257
0.051,6500.0,0.9000000000000004,1.1111111111111107,PUT,15.85,18.53,2.68,0.2243,0.2341
0.051,6770.0,1.2000000000000028,0.8333333333333314,PUT,46.8,41.73,-5.07,0.1802,0.1702
0.054,5300.0,0.25,4.0,PUT,1.18,1.97,0.79,0.4598,0.4886
0.054,5675.0,0.4500000000000002,2.2222222222222214,PUT,2.17,4.28,2.11,0.3815,0.4195
0.054,5840.0,0.6500000000000004,1.5384615384615377,PUT,2.98,5.77,2.8,0.348,0.3853
0.054,5970.0,0.7000000000000002,1.4285714285714282,PUT,3.85,7.22,3.37,0.3214,0.3568
0.054,6100.0,0.40000000000000036,2.499999999999998,PUT,5.1,9.0,3.9,0.295,0.3272
0.054,6180.0,0.40000000000000036,2.499999999999998,PUT,6.2,10.34,4.14,0.2793,0.3085
0.054,6260.0,0.8999999999999995,1.1111111111111118,PUT,7.85,11.95,4.1,0.2652,0.2895
0.054,6335.0,0.3999999999999986,2.500000000000009,PUT,9.8,13.8,4.0,0.2515,0.2717
0.054,6415.0,0.8999999999999986,1.111111111111113,PUT,12.95,16.29,3.34,0.2387,0.2527
0.054,6490.0,0.5,2.0,PUT,16.85,19.35,2.5,0.2262,0.235
0.054,6565.0,1.0,1.0,PUT,22.4,23.4,1.0,0.2146,0.2175
0.054,6645.0,1.0,1.0,PUT,30.5,29.32,-1.18,0.2019,0.199
0.054,6720.0,0.5999999999999943,1.6666666666666825,PUT,40.8,37.05,-3.75,0.1896,0.1817
0.054,7075.0,0.6000000000000014,1.6666666666666627,CALL,27.7,19.55,-8.15,0.1203,0.1035
0.054,7150.0,0.3999999999999986,2.500000000000009,CALL,10.0,7.98,-2.02,0.1087,0.1021
0.054,7230.0,0.40000000000000036,2.499999999999998,CALL,2.9,3.7,0.8,0.1032,0.1083
0.062,5900.0,0.7999999999999998,1.2500000000000002,PUT,3.9,7.52,3.62,0.3203,0.3568
0.062,6375.0,1.0,1.0,PUT,12.8,18.02,5.22,0.2355,0.2563
0.062,6750.0,1.2999999999999972,0.7692307692307709,PUT,48.95,47.05,-1.9,0.1779,0.1745
0.065,6000.0,1.0,1.0,PUT,5.3,9.45,4.15,0.2998,0.3325
0.065,6500.0,1.0,1.0,PUT,21.2,25.2,4.0,0.2166,0.2281
0.065,7150.0,1.0,1.0,CALL,13.5,11.22,-2.28,0.108,0.102
0.067,6350.0,0.5,2.0,PUT,14.05,19.13,5.08,0.2391,0.2582
0.067,6750.0,0.7000000000000028,1.4285714285714228,PUT,53.65,51.02,-2.63,0.1788,0.1743
0.07,6100.0,0.9000000000000004,1.1111111111111107,PUT,7.95,12.48,4.53,0.28,0.3064
0.07,6700.0,1.2999999999999972,0.7692307692307709,PUT,47.65,46.04,-1.61,0.1878,0.1849
0.073,5300.0,0.2999999999999998,3.3333333333333353,PUT,2.3,2.74,0.44,0.4278,0.4376
0.073,5950.0,0.40000000000000036,2.499999999999998,PUT,6.5,9.99,3.49,0.3067,0.3317
0.073,6350.0,0.5,2.0,PUT,17.05,21.19,4.14,0.2412,0.2552
0.073,6480.0,0.5,2.0,PUT,25.05,27.97,2.92,0.2218,0.2294
0.073,6620.0,0.5999999999999943,1.6666666666666825,PUT,39.0,38.96,-0.04,0.2013,0.2012
0.073,6740.0,0.7000000000000028,1.4285714285714228,PUT,57.55,53.4,-4.15,0.183,0.1762
0.073,7130.0,0.5,2.0,CALL,24.85,16.8,-8.05,0.1185,0.1024
0.073,7275.0,0.40000000000000036,2.499999999999998,CALL,4.4,4.94,0.54,0.1071,0.1096
0.081,6300.0,1.1000000000000014,0.909090909090908,PUT,16.05,22.02,5.97,0.2406,0.2606
0.081,6700.0,0.7000000000000028,1.4285714285714228,PUT,52.85,53.28,0.43,0.1833,0.1841
0.084,6100.0,1.0,1.0,PUT,10.5,15.71,5.21,0.2706,0.2948
0.092,5300.0,0.5,2.0,PUT,3.55,3.6,0.05,0.4036,0.4044
0.092,5975.0,0.3999999999999986,2.500000000000009,PUT,9.9,14.04,4.14,0.2886,0.3096
0.092,6375.0,0.5,2.0,PUT,24.95,29.95,5.0,0.2305,0.2431
0.092,6550.0,0.5999999999999943,1.6666666666666825,PUT,40.2,42.95,2.75,0.2068,0.2119
0.092,6680.0,1.2999999999999972,0.7692307692307709,PUT,58.15,57.29,-0.86,0.1888,0.1875
0.092,7080.0,1.4000000000000057,0.7142857142857114,CALL,53.5,38.49,-15.01,0.1287,0.108
0.092,7225.0,0.3999999999999986,2.500000000000009,CALL,14.6,11.09,-3.51,0.1132,0.1046
0.1,6100.0,1.1000000000000014,0.909090909090908,PUT,13.95,19.76,5.81,0.2634,0.2851
0.1,6700.0,1.4000000000000057,0.7142857142857114,PUT,64.2,64.84,0.64,0.1826,0.1835
0.11,4925.0,0.7000000000000002,1.4285714285714282,PUT,3.15,1.8,-1.35,0.4494,0.4195
0.11,5300.0,0.40000000000000036,2.499999999999998,PUT,5.2,4.53,-0.67,0.3896,0.3818
0.11,5625.0,0.9999999999999991,1.0000000000000009,PUT,7.7,9.08,1.38,0.3347,0.3443
0.11,5760.0,0.8999999999999986,1.111111111111113,PUT,9.35,11.84,2.49,0.3131,0.3272
0.11,5890.0,0.8999999999999986,1.111111111111113,PUT,11.95,15.17,3.22,0.2952,0.3099
0.11,6020.0,1.0,1.0,PUT,15.2,19.33,4.13,0.2766,0.2919
0.11,6150.0,0.5,2.0,PUT,19.65,24.56,4.91,0.2583,0.273
0.11,6270.0,1.1000000000000014,0.909090909090908,PUT,25.85,30.65,4.8,0.2431,0.2549
0.11,6345.0,1.2999999999999972,0.7692307692307709,PUT,29.75,35.25,5.5,0.2311,0.2433
0.11,6425.0,1.4000000000000057,0.7142857142857114,PUT,36.1,40.99,4.89,0.221,0.2305
0.11,6500.0,0.5999999999999943,1.6666666666666825,PUT,44.2,47.34,3.14,0.2128,0.2182
0.11,6580.0,0.5999999999999943,1.6666666666666825,PUT,53.9,55.39,1.49,0.2024,0.2047
0.11,6655.0,1.8000000000000043,0.5555555555555542,PUT,64.1,64.44,0.34,0.191,0.1915
0.11,6735.0,1.9000000000000057,0.5263157894736826,PUT,78.55,76.14,-2.41,0.18,0.1769
0.11,7085.0,1.4000000000000057,0.7142857142857114,CALL,65.2,47.58,-17.62,0.132,0.1105
0.11,7165.0,1.5999999999999943,0.6250000000000022,CALL,36.4,24.7,-11.7,0.1221,0.1044
0.11,7250.0,0.5,2.0,CALL,18.45,13.26,-5.19,0.1164,0.1055
0.11,7380.0,0.40000000000000036,2.499999999999998,CALL,5.9,6.3,0.4,0.1126,0.1141
