T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,320.0,103.07,103.65,0.59,103.66,0.6,0.6736
0.041,325.0,98.13,98.58,0.45,98.59,0.46,0.6559
0.041,335.0,88.3,88.48,0.17,88.49,0.19,0.6213
0.041,345.0,78.55,78.45,-0.1,78.49,-0.07,0.5901
0.041,350.0,73.72,73.49,-0.23,73.53,-0.18,0.575
0.041,360.0,64.17,63.7,-0.47,63.78,-0.39,0.5483
0.041,370.0,54.85,54.2,-0.65,54.33,-0.52,0.5241
0.041,375.0,50.32,49.61,-0.71,49.77,-0.55,0.5137
0.041,385.0,41.58,40.82,-0.77,41.06,-0.53,0.4948
0.041,395.0,33.47,32.73,-0.75,33.05,-0.42,0.4804
0.041,400.0,29.71,29.0,-0.71,29.36,-0.34,0.4744
0.041,410.0,22.82,22.25,-0.57,22.69,-0.13,0.4637
0.041,415.0,19.78,19.26,-0.52,19.73,-0.05,0.4601
0.041,417.5,18.36,17.86,-0.49,18.35,-0.01,0.4585
0.041,422.5,15.6,15.28,-0.32,15.78,0.18,0.4523
0.041,427.5,13.22,12.95,-0.27,13.47,0.24,0.45
0.041,430.0,12.15,11.89,-0.26,12.41,0.26,0.4493
0.041,435.0,10.2,9.96,-0.24,10.47,0.27,0.4484
0.041,440.0,8.52,8.28,-0.25,8.77,0.25,0.4487
0.041,445.0,7.05,6.83,-0.22,7.3,0.25,0.4483
0.041,447.5,6.42,6.18,-0.24,6.65,0.22,0.4493
0.041,452.5,5.3,5.05,-0.25,5.48,0.18,0.4507
0.041,457.5,4.35,4.1,-0.25,4.5,0.15,0.4523
0.041,460.0,3.95,3.69,-0.26,4.07,0.12,0.4539
0.041,465.0,3.23,2.98,-0.25,3.33,0.1,0.456
0.041,475.0,2.15,1.95,-0.2,2.23,0.08,0.4619
0.041,480.0,1.77,1.6,-0.16,1.84,0.07,0.4661
0.041,490.0,1.19,1.13,-0.06,1.31,0.11,0.4752
0.041,500.0,0.82,0.9,0.07,1.02,0.19,0.4863
0.041,505.0,0.7,0.84,0.14,0.94,0.24,0.4929
0.041,515.0,0.49,0.81,0.31,0.87,0.38,0.5056
0.041,525.0,0.36,0.85,0.49,0.89,0.53,0.5192
0.06,320.0,103.54,103.99,0.44,104.01,0.46,0.6089
0.06,330.0,93.79,93.95,0.16,93.98,0.19,0.5813
0.06,340.0,84.12,84.03,-0.09,84.09,-0.03,0.5555
0.06,345.0,79.34,79.14,-0.2,79.21,-0.13,0.5436
0.06,355.0,69.9,69.53,-0.37,69.65,-0.26,0.5219
0.06,365.0,60.72,60.25,-0.47,60.42,-0.3,0.503
0.06,375.0,51.91,51.39,-0.52,51.64,-0.27,0.488
0.06,380.0,47.67,47.17,-0.51,47.46,-0.22,0.4811
0.06,390.0,39.6,39.2,-0.4,39.57,-0.03,0.4684
0.06,400.0,32.24,31.95,-0.29,32.41,0.17,0.4595
0.06,405.0,28.88,28.63,-0.25,29.13,0.25,0.4564
0.06,415.0,22.8,22.64,-0.16,23.19,0.39,0.4514
0.06,425.0,17.55,17.52,-0.03,18.12,0.57,0.4461
0.06,430.0,15.3,15.29,-0.01,15.9,0.6,0.4449
0.06,440.0,11.5,11.47,-0.03,12.07,0.57,0.4445
0.06,450.0,8.5,8.44,-0.06,9.01,0.51,0.4452
0.06,455.0,7.28,7.19,-0.08,7.74,0.46,0.4461
0.06,465.0,5.3,5.17,-0.13,5.66,0.36,0.4491
0.06,475.0,3.83,3.7,-0.13,4.12,0.29,0.4528
0.06,480.0,3.25,3.13,-0.12,3.52,0.27,0.4552
0.06,490.0,2.34,2.28,-0.06,2.59,0.25,0.4606
0.06,500.0,1.71,1.73,0.02,1.97,0.27,0.4674
0.06,510.0,1.25,1.4,0.14,1.59,0.33,0.4755
0.06,515.0,1.08,1.3,0.21,1.46,0.37,0.4802
0.06,525.0,0.81,1.19,0.37,1.31,0.49,0.4896
0.079,325.0,99.27,99.45,0.19,99.5,0.23,0.5631
0.079,330.0,94.45,94.52,0.07,94.58,0.13,0.5514
0.079,340.0,84.92,84.8,-0.13,84.89,-0.03,0.5298
0.079,350.0,75.58,75.32,-0.26,75.46,-0.12,0.511
0.079,355.0,70.99,70.69,-0.3,70.86,-0.13,0.5024
0.079,365.0,62.05,61.74,-0.31,61.97,-0.08,0.4871
0.079,375.0,53.5,53.25,-0.26,53.56,0.05,0.4745
0.079,380.0,49.42,49.2,-0.22,49.56,0.14,0.4692
0.079,390.0,41.67,41.58,-0.1,42.02,0.34,0.4601
0.079,400.0,34.58,34.63,0.05,35.15,0.57,0.4528
0.079,405.0,31.34,31.42,0.08,31.98,0.64,0.4507
0.079,415.0,25.42,25.58,0.16,26.2,0.78,0.4467
0.079,425.0,20.27,20.51,0.24,21.17,0.9,0.4433
0.079,430.0,18.02,18.26,0.24,18.93,0.91,0.4426
0.079,440.0,14.1,14.31,0.21,14.99,0.89,0.4419
0.079,450.0,10.9,11.07,0.17,11.73,0.83,0.4422
0.079,460.0,8.35,8.45,0.1,9.08,0.73,0.4436
