Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used,q_used
PUT,0.5475701574264202,5225.0,52.7,51.28,-1.42,65.78,13.08,0.29864574625597323,0.0399,0.0105
PUT,0.5475701574264202,5650.0,79.1,81.01,1.91,98.13,19.03,0.26609183873928705,0.0399,0.0105
PUT,0.5475701574264202,6175.0,134.35000000000002,138.83,4.48,157.91,23.56,0.2284176716421047,0.0399,0.0105
PUT,0.5475701574264202,6925.0,290.1,297.89,7.79,315.08,24.98,0.17275752896443644,0.0399,0.0105
CALL,0.5475701574264202,6950.0,397.3,405.04,7.74,422.05,24.75,0.17094432500329512,0.0399,0.0105
CALL,0.5475701574264202,7350.0,176.8,180.96,4.16,194.39,17.59,0.1445981581239104,0.0399,0.0105
CALL,0.5475701574264202,7625.0,84.5,85.4,0.9,96.25,11.75,0.13227130834918807,0.0399,0.0105
CALL,0.5475701574264202,7875.0,39.1,40.39,1.29,48.8,9.7,0.12579723830044354,0.0399,0.0105
PUT,0.6242299794661191,5225.0,61.45,60.75,-0.7,73.77,12.32,0.2926730924226796,0.0399,0.011
PUT,0.6242299794661191,5650.0,91.4,93.16,1.76,107.69,16.29,0.2626080776456271,0.0399,0.011
PUT,0.6242299794661191,6175.0,151.7,154.52,2.82,169.39,17.69,0.22750272701648896,0.0399,0.011
PUT,0.6242299794661191,6925.0,312.55,317.07,4.52,327.96,15.41,0.175480172694064,0.0399,0.011
CALL,0.6242299794661191,6950.0,433.25,437.56,4.31,448.22,14.97,0.17385769880250707,0.0399,0.011
CALL,0.6242299794661191,7350.0,208.4,210.65,2.25,217.92,9.52,0.14844257605586553,0.0399,0.011
CALL,0.6242299794661191,7625.0,107.65,107.27,-0.38,113.47,5.82,0.13574546658018197,0.0399,0.011
CALL,0.6242299794661191,7875.0,53.95,53.78,-0.17,59.54,5.59,0.12855508698354592,0.0399,0.011
PUT,0.6570841889117043,5250.0,66.9,66.38,-0.52,78.7,11.8,0.2889151565593638,0.0399,0.0112
PUT,0.6570841889117043,6315.0,181.15,183.4,2.25,195.91,14.76,0.21788838411950825,0.0399,0.0112
PUT,0.6570841889117043,6560.0,227.8,230.3,2.5,241.49,13.69,0.20145200670087013,0.0399,0.0112
PUT,0.6570841889117043,6935.0,324.8,328.2,3.4,336.32,11.52,0.17579194773030418,0.0399,0.0112
CALL,0.6570841889117043,6940.0,454.85,457.45,2.6,465.52,10.67,0.17582330216457312,0.0399,0.0112
CALL,0.6570841889117043,7125.0,339.4,342.34,2.94,348.66,9.26,0.16339061850916423,0.0399,0.0112
CALL,0.6570841889117043,7240.0,275.65,278.18,2.53,283.52,7.87,0.1561942043870788,0.0399,0.0112
CALL,0.6570841889117043,7345.0,223.60000000000002,225.46,1.86,230.09,6.49,0.15007631860511242,0.0399,0.0112
PUT,0.7008898015058179,5225.0,70.55,69.82,-0.73,80.9,10.35,0.28850531223251624,0.0399,0.0108
PUT,0.7008898015058179,5650.0,103.75,104.63,0.88,116.2,12.45,0.2603547162103027,0.0399,0.0108
PUT,0.7008898015058179,6175.0,168.25,169.13,0.88,179.61,11.36,0.2271727437484035,0.0399,0.0108
PUT,0.7008898015058179,6925.0,332.85,334.51,1.66,339.24,6.39,0.17809451781351482,0.0399,0.0108
CALL,0.7008898015058179,6950.0,469.45000000000005,470.95,1.5,475.43,5.98,0.17654402801195407,0.0399,0.0108
CALL,0.7008898015058179,7350.0,240.45,241.54,1.09,242.6,2.15,0.15184473719082728,0.0399,0.0108
CALL,0.7008898015058179,7625.0,132.5,131.3,-1.2,132.23,-0.27,0.1390441325303024,0.0399,0.0108
CALL,0.7008898015058179,7875.0,71.1,69.52,-1.58,71.7,0.6,0.1313958988286842,0.0399,0.0108
PUT,0.7967145790554415,5225.0,81.75,80.88,-0.87,89.12,7.37,0.283986420036714,0.04,0.0111
PUT,0.7967145790554415,5650.0,118.80000000000001,118.51,-0.29,126.08,7.28,0.2578890849648306,0.04,0.0111
PUT,0.7967145790554415,6175.0,188.55,186.74,-1.81,191.65,3.1,0.22701321340020827,0.04,0.0111
PUT,0.7967145790554415,6925.0,358.3,355.77,-2.53,353.02,-5.28,0.18131778386934716,0.04,0.0111
CALL,0.7967145790554415,6950.0,512.1,509.49,-2.61,506.45,-5.65,0.17983388785747886,0.04,0.0111
CALL,0.7967145790554415,7350.0,280.15,278.3,-1.85,271.66,-8.49,0.15625965719740853,0.04,0.0111
CALL,0.7967145790554415,7625.0,164.75,161.64,-3.11,155.51,-9.24,0.14336799548886617,0.04,0.0111
CALL,0.7967145790554415,7875.0,94.55,91.0,-3.55,87.66,-6.89,0.13512575828373039,0.04,0.0111
CALL,0.7967145790554415,8600.0,15.950000000000001,16.4,0.45,17.73,1.78,0.12683635921793,0.04,0.0111
PUT,0.8733744010951403,5225.0,89.85,89.49,-0.36,95.25,5.4,0.2802192430313839,0.04,0.0115
PUT,0.8733744010951403,5650.0,129.25,129.25,0.0,133.49,4.24,0.255306461228611,0.04,0.0115
PUT,0.8733744010951403,6175.0,202.4,200.3,-2.1,200.77,-1.63,0.2260069012129906,0.04,0.0115
PUT,0.8733744010951403,6925.0,375.85,372.16,-3.69,363.64,-12.21,0.18283481151820927,0.04,0.0115
CALL,0.8733744010951403,6950.0,542.25,538.64,-3.61,529.8,-12.45,0.18136032132322802,0.04,0.0115
CALL,0.8733744010951403,7350.0,309.04999999999995,306.68,-2.37,294.03,-15.02,0.15875003511809066,0.04,0.0115
CALL,0.8733744010951403,7650.0,180.3,176.98,-3.32,165.29,-15.01,0.14500824217373107,0.04,0.0115
CALL,0.8733744010951403,7900.0,107.6,103.46,-4.14,95.56,-12.04,0.13692410083837575,0.04,0.0115
CALL,0.8733744010951403,8600.0,21.75,21.23,-0.52,21.22,-0.53,0.1280636280633015,0.04,0.0115
PUT,0.9089664613278576,5250.0,95.0,95.35,0.35,99.85,4.85,0.2768782793530447,0.04,0.0113
PUT,0.9089664613278576,6085.0,192.3,191.61,-0.69,190.95,-1.35,0.23006965860551895,0.04,0.0113
PUT,0.9089664613278576,6490.0,268.4,266.01,-2.39,260.81,-7.59,0.20770952997374792,0.04,0.0113
PUT,0.9089664613278576,6935.0,383.95000000000005,382.07,-1.88,370.83,-13.12,0.18216773954144713,0.04,0.0113
CALL,0.9089664613278576,6940.0,562.2,560.04,-2.16,548.74,-13.46,0.18199589398488608,0.04,0.0113
CALL,0.9089664613278576,7290.0,352.75,352.21,-0.54,337.14,-15.61,0.16228758236622054,0.04,0.0113
CALL,0.9089664613278576,7610.0,205.7,204.3,-1.4,189.48,-16.22,0.14716616612282718,0.04,0.0113
CALL,0.9089664613278576,7990.0,95.35,92.5,-2.85,83.93,-11.42,0.13507353288232002,0.04,0.0113
PUT,0.9500342231348392,5225.0,97.0,97.52,0.52,100.72,3.72,0.27685791161976137,0.0401,0.0107
PUT,0.9500342231348392,5650.0,137.95,139.14,1.19,140.06,2.11,0.2527861407133498,0.0401,0.0107
PUT,0.9500342231348392,6175.0,213.25,212.5,-0.75,208.66,-4.59,0.22473545586462557,0.0401,0.0107
PUT,0.9500342231348392,6925.0,387.25,386.06,-1.19,372.06,-15.19,0.18329159455217262,0.0401,0.0107
CALL,0.9500342231348392,6950.0,573.9,572.16,-1.74,557.81,-16.09,0.1821372790661408,0.0401,0.0107
CALL,0.9500342231348392,7350.0,339.04999999999995,338.77,-0.28,320.28,-18.77,0.16049402324369796,0.0401,0.0107
CALL,0.9500342231348392,7650.0,205.45,204.38,-1.07,186.79,-18.66,0.14691476422356217,0.0401,0.0107
CALL,0.9500342231348392,7900.0,127.1,124.52,-2.58,111.2,-15.9,0.1386111703933546,0.0401,0.0107
PUT,1.0458590006844628,5225.0,106.7,107.63,0.93,107.54,0.84,0.27342067716821056,0.0401,0.011
