T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,5400.0,1560.76,1584.02,23.26,1584.24,23.48,0.4675
0.041,6225.0,739.67,739.2,-0.47,738.54,-1.13,0.2787
0.041,6650.0,327.87,322.16,-5.71,324.07,-3.8,0.1935
0.041,6820.0,178.88,179.44,0.56,183.79,4.91,0.1627
0.041,6925.0,98.94,105.29,6.35,107.29,8.35,0.1406
0.041,7050.0,29.05,38.17,9.12,36.38,7.33,0.1121
0.044,5325.0,1635.93,1661.72,25.79,1662.92,27.0,0.4772
0.044,5600.0,1361.8,1376.42,14.62,1376.84,15.04,0.4168
0.044,5770.0,1192.45,1204.31,11.86,1204.16,11.71,0.3783
0.044,5930.0,1033.26,1038.47,5.21,1038.34,5.08,0.343
0.044,6100.0,864.22,869.62,5.4,870.57,6.36,0.3019
0.044,6210.0,755.19,755.45,0.25,754.85,-0.34,0.2775
0.044,6310.0,656.86,654.35,-2.51,655.03,-1.83,0.2598
0.044,6415.0,553.58,552.94,-0.64,555.77,2.19,0.2353
0.044,6515.0,457.49,455.35,-2.14,457.84,0.35,0.22
0.044,6615.0,361.76,357.19,-4.56,358.96,-2.79,0.1973
0.044,6715.0,272.27,266.03,-6.24,269.26,-3.01,0.1848
0.044,6815.0,184.43,185.69,1.26,190.19,5.75,0.161
0.044,6915.0,108.54,114.91,6.37,117.29,8.74,0.1425
0.044,7015.0,46.9,56.69,9.79,55.46,8.56,0.1199
0.044,7120.0,11.65,17.87,6.22,15.89,4.24,0.1025
0.044,7220.0,1.97,3.95,1.98,4.18,2.21,0.0957
0.052,5700.0,1263.32,1277.43,14.12,1278.77,15.45,0.3704
0.052,6300.0,668.55,666.11,-2.45,666.92,-1.63,0.2474
0.052,6700.0,289.03,285.29,-3.74,288.51,-0.51,0.1783
0.052,6870.0,147.21,153.58,6.37,157.56,10.36,0.1476
0.052,7040.0,41.5,53.04,11.54,50.73,9.23,0.1151
0.055,5500.0,1462.95,1480.32,17.36,1478.97,16.02,0.4095
0.055,6300.0,669.76,666.85,-2.91,667.79,-1.96,0.2477
0.055,6700.0,291.37,287.41,-3.96,290.72,-0.66,0.1788
0.055,6870.0,151.52,156.11,4.59,160.16,8.64,0.1507
0.055,7030.0,49.0,60.35,11.35,58.12,9.12,0.1186
0.057,5400.0,1563.01,1586.23,23.22,1586.71,23.7,0.4275
