T,K,Market,Model,Err,IV_Mkt
0.041,5250.0,1684.58,1698.18,13.61,0.516
0.041,5580.0,1355.48,1363.29,7.81,0.4325
0.041,5750.0,1186.29,1191.34,5.05,0.3973
0.041,5910.0,1027.11,1029.85,2.74,0.3592
0.041,6075.0,863.04,863.87,0.83,0.3167
0.041,6195.0,744.57,743.9,-0.67,0.2935
0.041,6290.0,650.47,649.12,-1.35,0.2676
0.041,6390.0,552.57,550.63,-1.94,0.2467
0.041,6490.0,457.07,453.31,-3.77,0.2329
0.041,6585.0,367.87,363.68,-4.19,0.216
0.041,6685.0,275.97,273.16,-2.82,0.1939
0.041,6785.0,193.03,190.08,-2.95,0.1801
0.041,6880.0,118.12,120.53,2.41,0.1562
0.041,6980.0,57.65,62.59,4.94,0.1379
0.041,7080.0,16.1,24.0,7.9,0.1126
0.041,7175.0,2.83,6.97,4.15,0.1001
0.049,5850.0,1088.55,1092.0,3.45,0.3491
0.049,6350.0,594.97,593.29,-1.68,0.2455
0.049,6710.0,260.43,259.42,-1.0,0.1848
0.049,6875.0,129.33,133.16,3.83,0.1548
0.049,7040.0,33.6,43.98,10.38,0.119
0.052,5600.0,1337.9,1344.94,7.04,0.4002
0.052,6325.0,620.71,618.79,-1.92,0.2495
0.052,6710.0,263.25,261.95,-1.3,0.1853
0.052,6870.0,136.51,139.46,2.95,0.157
0.052,7030.0,40.4,50.35,9.95,0.1224
0.055,5500.0,1438.07,1446.53,8.45,0.4185
0.055,6275.0,670.88,668.81,-2.07,0.2588
0.055,6725.0,253.49,252.04,-1.45,0.1835
0.055,6890.0,125.58,128.94,3.36,0.1538
0.055,7060.0,31.6,40.76,9.16,0.1187
0.057,5800.0,1140.66,1143.96,3.3,0.3541
0.057,6475.0,481.15,477.04,-4.11,0.2266
0.057,6790.0,204.83,203.11,-1.72,0.1755
0.057,6960.0,83.95,89.41,5.46,0.1413
0.057,7200.0,5.9,9.84,3.94,0.106
0.06,5310.0,1628.35,1640.04,11.69,0.4519
0.06,5475.0,1464.17,1472.72,8.55,0.4173
0.06,5640.0,1300.19,1305.82,5.63,0.3838
0.06,5800.0,1141.4,1144.44,3.04,0.3512
0.06,5970.0,973.13,973.65,0.52,0.3172
0.06,6125.0,820.43,818.89,-1.54,0.2872
0.06,6220.0,727.44,724.99,-2.45,0.2695
0.06,6320.0,630.46,626.99,-3.47,0.252
0.06,6415.0,539.63,535.56,-4.07,0.2363
0.06,6515.0,445.95,441.36,-4.59,0.2203
0.06,6615.0,355.32,350.88,-4.45,0.2048
0.06,6710.0,272.89,269.28,-3.61,0.1892
0.06,6810.0,192.06,190.64,-1.42,0.1722
0.06,6910.0,119.98,121.53,1.54,0.154
0.06,7005.0,63.6,68.62,5.02,0.1356
0.06,7105.0,24.35,29.71,5.36,0.1188
0.06,7205.0,6.55,10.16,3.61,0.1075
0.06,7300.0,1.7,3.56,1.86,0.1048
0.068,6150.0,798.01,796.56,-1.45,0.2714
0.068,6650.0,328.28,326.62,-1.66,0.1925
0.068,6925.0,114.88,119.78,4.91,0.1474
0.068,7175.0,11.65,17.58,5.93,0.1074
0.071,6300.0,653.71,650.85,-2.86,0.246
0.071,6775.0,226.52,226.99,0.47,0.1731
0.071,6980.0,82.65,90.49,7.84,0.1359
0.074,5400.0,1541.0,1550.28,9.28,0.4072
0.074,6575.0,398.83,396.02,-2.81,0.204
0.074,6925.0,120.29,124.52,4.23,0.1484
0.074,7250.0,5.85,9.4,3.55,0.1057
0.077,6475.0,491.92,488.08,-3.84,0.2194
0.077,6920.0,126.48,129.92,3.44,0.1502
0.077,7225.0,9.15,12.93,3.78,0.1085
0.079,5850.0,1096.72,1097.54,0.82,0.3223
0.079,6350.0,610.9,606.54,-4.36,0.2394
0.079,6525.0,448.61,444.13,-4.48,0.2133
0.079,6680.0,312.67,309.61,-3.06,0.1902
0.079,6820.0,200.58,200.23,-0.35,0.1685
0.079,6920.0,129.98,132.18,2.2,0.1519
0.079,7015.0,74.25,78.83,4.58,0.1357
0.079,7160.0,21.8,25.5,3.7,0.1167
0.079,7450.0,1.05,2.5,1.45,0.1126
0.088,6500.0,474.67,472.03,-2.64,0.2112
0.088,7000.0,84.85,92.72,7.87,0.1342
0.09,6500.0,476.78,473.78,-2.99,0.2116
0.099,5800.0,1151.51,1152.16,0.65,0.3158
0.099,6325.0,644.28,639.85,-4.43,0.2372
0.099,6575.0,416.95,412.98,-3.97,0.2032
0.099,6730.0,286.06,284.24,-1.82,0.1809
0.099,6900.0,158.99,160.71,1.73,0.1553
0.099,7070.0,62.45,66.78,4.33,0.1295
0.099,7275.0,10.8,13.27,2.47,0.1113
0.107,6425.0,554.69,551.73,-2.96,0.2189
0.107,6900.0,163.17,167.04,3.87,0.1529
0.118,5250.0,1698.89,1708.97,10.08,0.3918
0.118,5650.0,1304.23,1306.48,2.24,0.3279
0.118,5810.0,1147.28,1147.16,-0.12,0.3032
0.118,5975.0,987.2,984.55,-2.65,0.2814
0.118,6140.0,828.12,824.47,-3.66,0.2571
0.118,6285.0,691.11,686.88,-4.23,0.2379
0.118,6385.0,599.64,594.28,-5.36,0.2272
0.118,6485.0,508.33,504.14,-4.19,0.2125
0.118,6580.0,426.09,421.43,-4.67,0.2018
0.118,6680.0,340.38,338.25,-2.13,0.1864
