T,K,Market,Model,Err,IV_Mkt,IV_Model
0.041,5250.0,1680.65,1694.33,13.68,0.5132,0.7738
0.041,5725.0,1207.25,1212.64,5.39,0.4013,0.4969
0.041,5910.0,1023.21,1026.05,2.84,0.3582,0.4044
0.041,6080.0,854.44,855.08,0.63,0.3185,0.3275
0.041,6215.0,720.9,720.16,-0.74,0.2875,0.279
0.041,6315.0,622.5,621.02,-1.49,0.2652,0.2516
0.041,6410.0,529.8,527.5,-2.3,0.2451,0.229
0.041,6510.0,432.9,431.0,-1.9,0.2217,0.2119
0.041,6605.0,345.1,341.83,-3.26,0.2092,0.1973
0.041,6700.0,259.89,256.85,-3.04,0.192,0.1838
0.041,6800.0,173.59,174.74,1.15,0.1675,0.1699
0.041,6895.0,104.79,106.62,1.83,0.1519,0.1552
0.041,6990.0,53.05,53.49,0.44,0.1396,0.1404
0.041,7085.0,15.15,18.98,3.83,0.1143,0.1245
0.041,7185.0,2.4,4.75,2.35,0.1014,0.1167
0.049,5900.0,1036.7,1039.5,2.8,0.3371,0.3768
0.049,6375.0,568.32,567.4,-0.92,0.2388,0.2331
0.049,6725.0,244.21,245.09,0.88,0.1784,0.1804
0.049,6880.0,121.85,126.77,4.92,0.1493,0.1576
0.049,7040.0,34.2,40.06,5.86,0.1213,0.1322
0.052,5600.0,1336.27,1343.45,7.19,0.3991,0.5067
0.052,6300.0,643.35,642.14,-1.21,0.253,0.2445
0.052,6690.0,277.85,277.46,-0.39,0.1856,0.1847
0.052,6860.0,140.63,143.81,3.17,0.1554,0.1607
0.052,7020.0,45.2,50.9,5.7,0.126,0.1357
0.052,7275.0,1.1,2.68,1.58,0.1002,0.1159
0.055,6200.0,743.06,742.35,-0.71,0.272,0.2662
0.055,6700.0,272.53,271.84,-0.69,0.1848,0.1833
0.055,6860.0,144.11,146.96,2.86,0.1561,0.1608
0.055,7020.0,48.05,53.42,5.37,0.127,0.1359
0.057,5600.0,1338.61,1345.28,6.67,0.3946,0.4832
0.057,6400.0,551.25,548.58,-2.67,0.2376,0.2255
0.057,6770.0,219.24,217.67,-1.57,0.1771,0.1742
0.057,6930.0,102.75,104.01,1.26,0.1483,0.1502
0.057,7100.0,23.4,26.07,2.67,0.118,0.1235
0.06,5275.0,1662.92,1675.47,12.55,0.457,0.6298
0.06,5440.0,1498.74,1508.08,9.34,0.4234,0.5476
0.06,5610.0,1329.77,1336.06,6.29,0.3895,0.4686
0.06,5775.0,1165.89,1169.57,3.68,0.3547,0.3978
0.06,5930.0,1012.39,1013.69,1.3,0.3242,0.3378
0.06,6110.0,834.79,833.96,-0.83,0.2887,0.2818
0.06,6205.0,741.75,740.12,-1.63,0.2714,0.2603
0.06,6300.0,649.42,646.8,-2.61,0.2546,0.2402
0.06,6400.0,553.29,550.39,-2.9,0.2372,0.2248
0.06,6495.0,463.7,460.31,-3.39,0.2216,0.2103
0.06,6590.0,376.56,373.48,-3.08,0.2064,0.1983
0.06,6690.0,288.59,285.78,-2.81,0.1902,0.1844
0.06,6785.0,210.2,208.82,-1.38,0.1744,0.1721
0.06,6880.0,138.86,139.13,0.27,0.1574,0.1578
0.06,6975.0,80.3,80.95,0.65,0.1423,0.1433
0.06,7075.0,34.2,35.84,1.64,0.1243,0.1273
0.06,7170.0,11.0,12.76,1.76,0.1115,0.1165
0.06,7265.0,2.98,4.34,1.36,0.1064,0.1146
0.068,6000.0,946.16,946.87,0.71,0.2979,0.3038
0.068,6475.0,486.77,484.89,-1.88,0.2178,0.212
0.068,6870.0,151.58,154.4,2.83,0.1553,0.1594
0.068,7030.0,54.75,60.54,5.79,0.1263,0.1348
0.071,5900.0,1045.92,1047.37,1.46,0.3143,0.3274
0.071,6575.0,397.15,395.92,-1.23,0.2024,0.1995
0.071,6910.0,126.2,130.14,3.94,0.1479,0.1533
0.071,7175.0,13.45,16.36,2.91,0.1094,0.1165
0.074,6300.0,656.38,654.18,-2.2,0.245,0.2357
0.074,6800.0,209.9,210.75,0.85,0.1684,0.1696
0.074,7010.0,70.3,74.64,4.34,0.1322,0.1381
0.077,5200.0,1741.98,1755.31,13.33,0.4409,0.5938
0.077,6650.0,336.23,334.55,-1.68,0.1924,0.1892
0.077,6990.0,84.1,87.34,3.24,0.137,0.1413
0.079,5200.0,1742.68,1755.81,13.13,0.4393,0.5839
0.079,6025.0,926.59,925.77,-0.82,0.291,0.2858
0.079,6420.0,546.6,543.42,-3.18,0.2278,0.2185
0.079,6575.0,405.26,402.09,-3.18,0.2055,0.1988
0.079,6730.0,272.12,270.26,-1.86,0.1816,0.1787
0.079,6845.0,182.56,182.32,-0.23,0.1634,0.163
