T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.041,6590.0,PUT,16.75,15.2,-1.55,0.2111,0.2052
0.041,6685.0,PUT,25.75,23.48,-2.27,0.1941,0.1877
0.041,6785.0,PUT,43.05,39.46,-3.59,0.1802,0.1725
0.041,6885.0,PUT,67.65,65.06,-2.59,0.16,0.1552
0.041,6985.0,CALL,53.55,54.45,0.9,0.1372,0.1389
0.041,7080.0,CALL,15.75,18.66,2.91,0.1138,0.1214
0.041,7180.0,CALL,3.05,4.14,1.09,0.1048,0.1117
0.049,6710.0,PUT,33.35,33.03,-0.32,0.1843,0.1835
0.049,6875.0,PUT,67.7,69.45,1.75,0.1543,0.1572
0.049,7030.0,CALL,36.8,41.84,5.04,0.1219,0.1312
0.052,5500.0,PUT,1.6,10.46,8.86,0.4228,0.5566
0.052,6300.0,PUT,8.05,8.2,0.15,0.2558,0.2568
0.052,6700.0,PUT,34.45,33.53,-0.92,0.1869,0.1848
0.052,6860.0,PUT,66.6,67.36,0.76,0.1586,0.1599
0.052,7025.0,CALL,41.45,46.25,4.8,0.1239,0.1323
0.055,5400.0,PUT,1.55,12.03,10.48,0.4396,0.5933
0.055,6250.0,PUT,7.7,7.94,0.24,0.2638,0.2654
0.055,6720.0,PUT,39.75,38.72,-1.03,0.184,0.1819
0.055,6880.0,PUT,75.2,75.76,0.56,0.1557,0.1566
0.055,7050.0,CALL,34.3,38.18,3.88,0.1209,0.1279
0.057,5700.0,PUT,2.95,8.24,5.29,0.3759,0.4412
0.057,6450.0,PUT,16.4,14.61,-1.79,0.2307,0.2239
0.057,6780.0,PUT,54.45,52.27,-2.18,0.177,0.1731
0.057,6950.0,CALL,88.2,89.26,1.06,0.1438,0.1454
0.057,7175.0,CALL,8.3,9.06,0.76,0.1087,0.1113
0.06,5300.0,PUT,1.75,13.87,12.12,0.4539,0.6172
0.06,5460.0,PUT,2.2,11.45,9.25,0.4206,0.5401
0.06,5625.0,PUT,2.83,9.45,6.63,0.3866,0.4666
0.06,5790.0,PUT,3.75,8.03,4.28,0.3538,0.4001
0.06,5950.0,PUT,5.0,7.27,2.27,0.3216,0.3428
0.06,6115.0,PUT,7.1,7.54,0.44,0.2899,0.2931
0.06,6215.0,PUT,9.0,8.79,-0.21,0.2711,0.2698
0.06,6310.0,PUT,11.7,10.53,-1.17,0.2545,0.2487
0.06,6410.0,PUT,15.65,14.09,-1.56,0.2371,0.2309
0.06,6510.0,PUT,21.9,19.34,-2.56,0.2214,0.2136
0.06,6610.0,PUT,30.75,28.11,-2.64,0.205,0.1986
0.06,6705.0,PUT,43.3,40.2,-3.1,0.1899,0.1838
0.06,6805.0,PUT,62.25,60.0,-2.25,0.1729,0.1692
0.06,6905.0,PUT,90.3,88.57,-1.73,0.1553,0.1527
0.06,7000.0,CALL,64.8,64.86,0.06,0.1371,0.1372
0.06,7100.0,CALL,25.15,24.99,-0.16,0.1202,0.1199
0.06,7200.0,CALL,6.95,7.26,0.31,0.109,0.1101
0.06,7295.0,CALL,1.88,2.31,0.43,0.1064,0.1101
0.068,6075.0,PUT,7.3,8.37,1.07,0.2854,0.2928
0.068,6575.0,PUT,29.45,29.29,-0.16,0.2035,0.2031
0.068,6900.0,PUT,91.65,93.15,1.5,0.1517,0.1538
0.068,7100.0,CALL,27.55,29.75,2.2,0.1166,0.1206
0.071,6200.0,PUT,10.55,10.94,0.39,0.2627,0.2647
0.071,6725.0,PUT,51.6,51.31,-0.29,0.1811,0.1806
0.071,6960.0,CALL,92.75,95.71,2.96,0.1402,0.1443
0.071,7325.0,CALL,2.05,2.58,0.53,0.1055,0.1097
0.074,6500.0,PUT,26.05,25.06,-0.99,0.2151,0.2126
0.074,6880.0,PUT,90.15,90.72,0.57,0.1564,0.1572
0.074,7150.0,CALL,19.0,19.38,0.38,0.1136,0.1144
0.077,6400.0,PUT,20.8,19.83,-0.97,0.2307,0.2278
0.077,6850.0,PUT,83.85,83.91,0.06,0.162,0.1621
0.077,7125.0,CALL,27.0,26.83,-0.17,0.118,0.1177
0.079,5750.0,PUT,5.7,9.09,3.39,0.3404,0.3685
0.079,6275.0,PUT,16.3,14.82,-1.48,0.2513,0.2456
0.079,6490.0,PUT,29.0,26.84,-2.16,0.2185,0.2132
0.079,6660.0,PUT,48.0,46.04,-1.96,0.1931,0.1897
0.079,6805.0,PUT,75.15,74.18,-0.97,0.1705,0.1691
0.079,6900.0,PUT,101.65,101.04,-0.61,0.1549,0.1541
0.079,7000.0,CALL,80.6,80.21,-0.39,0.1386,0.1381
0.079,7130.0,CALL,28.6,26.83,-1.77,0.1204,0.1173
0.079,7350.0,CALL,2.67,2.73,0.05,0.1096,0.1099
0.088,6425.0,PUT,25.85,25.73,-0.12,0.2221,0.2218
0.088,6925.0,CALL,127.55,130.69,3.14,0.1466,0.1504
0.09,6100.0,PUT,12.5,12.63,0.13,0.2702,0.2707
0.099,5500.0,PUT,5.5,12.11,6.61,0.3652,0.417
0.099,6175.0,PUT,17.5,16.71,-0.79,0.2581,0.2554
0.099,6525.0,PUT,41.1,39.33,-1.77,0.2099,0.2066
0.099,6680.0,PUT,61.9,60.66,-1.24,0.1881,0.1862
0.099,6850.0,PUT,98.75,98.48,-0.27,0.1628,0.1625
0.099,7020.0,CALL,84.45,83.87,-0.58,0.1366,0.136
0.099,7175.0,CALL,27.15,24.25,-2.9,0.1187,0.1138
0.107,5900.0,PUT,10.85,12.36,1.51,0.2917,0.2993
0.107,6775.0,PUT,82.65,84.42,1.77,0.171,0.1732
0.107,7250.0,CALL,14.95,13.93,-1.02,0.1115,0.1092
0.118,5580.0,PUT,8.2,12.54,4.34,0.3381,0.3648
0.118,5770.0,PUT,10.75,12.67,1.92,0.3087,0.3185
0.118,5930.0,PUT,14.15,14.45,0.3,0.2859,0.2871
0.118,6090.0,PUT,19.5,18.43,-1.07,0.2651,0.2617
0.118,6260.0,PUT,27.0,26.02,-0.98,0.2409,0.2385
0.118,6360.0,PUT,34.5,32.56,-1.94,0.2297,0.2256
0.118,6455.0,PUT,41.85,40.94,-0.91,0.2157,0.2141
0.118,6555.0,PUT,54.1,52.2,-1.9,0.2045,0.2015
0.118,6655.0,PUT,67.5,67.14,-0.36,0.1896,0.1891
0.118,6750.0,PUT,86.25,85.12,-1.13,0.1778,0.1764
0.118,6850.0,PUT,109.25,109.92,0.67,0.162,0.1627
0.118,6950.0,CALL,139.35,137.92,-1.43,0.1493,0.1478
0.118,7045.0,CALL,86.8,83.9,-2.9,0.1366,0.1334
0.118,7145.0,CALL,45.5,41.5,-4.0,0.1243,0.119
0.118,7260.0,CALL,18.95,15.53,-3.42,0.1161,0.1093
0.118,7425.0,CALL,4.85,4.35,-0.5,0.1131,0.1108
0.118,7600.0,CALL,1.3,2.82,1.52,0.1175,0.1315
