T,K,Type,Spread,Market,Model,Err,IV_Mkt,IV_Model
0.041,6585.0,PUT,0.3,17.95,13.77,-4.18,0.2163,0.2004
0.041,6685.0,PUT,0.5,26.25,23.51,-2.74,0.1939,0.1862
0.041,6785.0,PUT,0.4,43.2,40.82,-2.38,0.1786,0.1735
0.041,6880.0,PUT,0.9,64.05,66.62,2.57,0.1547,0.1594
0.041,6980.0,CALL,0.5,56.35,58.19,1.84,0.1413,0.1447
0.041,7080.0,CALL,0.3,15.65,20.87,5.22,0.1152,0.1287
0.041,7180.0,CALL,0.3,3.05,5.38,2.33,0.1059,0.1197
0.049,6675.0,PUT,0.4,29.2,28.05,-1.15,0.1899,0.1871
0.049,6840.0,PUT,0.5,58.85,61.71,2.86,0.1602,0.1652
0.049,7000.0,CALL,0.5,50.05,56.8,6.75,0.1298,0.1414
0.049,7250.0,CALL,0.15,1.23,3.27,2.05,0.0999,0.1183
0.052,6200.0,PUT,0.3,6.25,5.12,-1.13,0.2755,0.2657
0.052,6670.0,PUT,0.4,30.9,29.26,-1.64,0.1915,0.1876
0.052,6825.0,PUT,0.5,57.75,59.94,2.19,0.1635,0.1674
0.052,6990.0,CALL,0.5,57.85,64.08,6.23,0.1328,0.143
0.052,7225.0,CALL,0.25,2.27,5.02,2.75,0.1007,0.1178
0.055,6175.0,PUT,0.3,6.55,5.41,-1.14,0.2791,0.2697
0.055,6650.0,PUT,0.4,30.8,28.46,-2.34,0.1958,0.1901
0.055,6850.0,PUT,0.5,67.35,69.17,1.82,0.1606,0.1636
0.055,7020.0,CALL,0.5,46.65,52.66,6.01,0.1282,0.1382
0.057,5200.0,PUT,0.15,1.38,15.14,13.77,0.4796,0.6792
0.057,6350.0,PUT,0.3,12.25,8.96,-3.29,0.2484,0.2317
0.057,6760.0,PUT,0.5,50.75,48.91,-1.84,0.1795,0.1762
0.057,6925.0,CALL,0.5,103.65,104.79,1.14,0.1509,0.1526
0.057,7080.0,CALL,0.5,28.35,32.0,3.65,0.1221,0.1291
0.06,5270.0,PUT,0.15,1.68,14.09,12.42,0.4595,0.6294
0.06,5430.0,PUT,0.15,2.12,11.38,9.25,0.4268,0.5492
0.06,5600.0,PUT,0.2,2.8,8.93,6.13,0.3928,0.4696
0.06,5760.0,PUT,0.2,3.7,7.04,3.34,0.3612,0.4
0.06,5925.0,PUT,0.3,4.95,5.74,0.79,0.3279,0.336
0.06,6090.0,PUT,0.2,6.9,5.48,-1.42,0.2954,0.2836
0.06,6200.0,PUT,0.2,8.9,6.52,-2.38,0.2746,0.2585
0.06,6295.0,PUT,0.2,11.5,8.02,-3.48,0.2578,0.2388
0.06,6395.0,PUT,0.3,15.35,11.45,-3.9,0.2404,0.224
0.06,6495.0,PUT,0.4,21.0,16.67,-4.33,0.2235,0.2094
0.06,6595.0,PUT,0.4,29.6,25.53,-4.07,0.2075,0.1973
0.06,6690.0,PUT,0.4,41.4,37.83,-3.57,0.192,0.1848
0.06,6790.0,PUT,0.5,59.45,57.68,-1.77,0.1751,0.1721
0.06,6890.0,PUT,0.5,85.75,86.24,0.49,0.157,0.1577
0.06,6990.0,CALL,0.5,69.55,71.53,1.98,0.1399,0.1429
0.06,7085.0,CALL,0.4,29.8,32.24,2.44,0.1239,0.1285
0.06,7185.0,CALL,0.3,8.65,10.89,2.24,0.1113,0.1185
0.06,7285.0,CALL,0.15,2.12,3.55,1.43,0.1068,0.1172
0.068,5700.0,PUT,0.2,3.7,7.84,4.14,0.3559,0.4009
0.068,6400.0,PUT,0.3,17.25,14.59,-2.66,0.2313,0.2217
0.068,6840.0,PUT,0.5,74.15,76.65,2.5,0.1612,0.1649
0.068,7020.0,CALL,0.5,57.85,63.97,6.12,0.1295,0.1384
0.071,5600.0,PUT,0.3,3.45,9.18,5.73,0.3726,0.4348
0.071,6500.0,PUT,0.4,24.9,22.08,-2.82,0.2155,0.2078
0.071,6890.0,PUT,0.6,91.2,94.05,2.85,0.1537,0.1576
0.071,7125.0,CALL,0.5,22.85,27.22,4.37,0.1155,0.1238
0.074,6200.0,PUT,0.4,11.6,9.31,-2.29,0.2628,0.2511
0.074,6750.0,PUT,0.6,58.9,58.23,-0.67,0.1779,0.1768
0.074,7000.0,CALL,0.6,73.5,78.18,4.68,0.1351,0.1415
0.077,5200.0,PUT,0.15,2.28,15.41,13.13,0.4421,0.5914
0.077,6675.0,PUT,0.5,48.25,45.91,-2.34,0.1902,0.1861
0.077,6980.0,CALL,0.7,87.35,90.97,3.62,0.1397,0.1445
0.079,5200.0,PUT,0.15,2.53,15.45,12.93,0.4403,0.5817
