T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.041,6550.0,PUT,19.0,0.4,13.88,-5.12,0.2252,0.2057
0.041,6650.0,PUT,31.55,1.3,24.44,-7.11,0.2139,0.1943
0.041,6750.0,PUT,47.35,0.3,41.91,-5.44,0.1939,0.1822
0.041,6845.0,PUT,68.45,0.7,68.01,-0.44,0.1706,0.1698
0.041,6945.0,CALL,62.75,0.7,67.68,4.93,0.1467,0.1556
0.041,7045.0,CALL,23.25,0.3,27.81,4.56,0.1302,0.1409
0.041,7145.0,CALL,4.35,0.3,7.9,3.55,0.1113,0.1284
0.041,7245.0,CALL,0.95,0.1,1.65,0.7,0.1119,0.1218
0.049,6525.0,PUT,20.75,0.3,16.45,-4.3,0.2226,0.208
0.049,6775.0,PUT,56.2,0.4,55.38,-0.82,0.1802,0.1787
0.049,6940.0,CALL,71.95,0.5,79.08,7.13,0.1444,0.1562
0.049,7110.0,CALL,10.65,0.3,17.19,6.54,0.1134,0.1322
0.052,6025.0,PUT,5.1,0.2,1.28,-3.82,0.3147,0.257
0.052,6525.0,PUT,22.45,0.3,17.97,-4.48,0.2221,0.2078
0.052,6770.0,PUT,57.35,0.5,56.54,-0.81,0.1807,0.1793
0.052,6930.0,CALL,80.4,0.4,87.21,6.81,0.1467,0.1576
0.052,7100.0,CALL,14.2,0.4,20.86,6.66,0.1166,0.1335
0.055,5950.0,PUT,4.9,0.2,1.01,-3.89,0.3283,0.2631
0.055,6450.0,PUT,18.75,0.3,13.61,-5.14,0.2347,0.2155
0.055,6780.0,PUT,62.85,0.5,61.47,-1.38,0.1803,0.1779
0.055,6940.0,CALL,78.1,0.6,84.57,6.47,0.146,0.1561
0.055,7120.0,CALL,12.2,0.4,18.05,5.85,0.1154,0.1311
0.057,6150.0,PUT,8.85,0.3,3.43,-5.42,0.2895,0.2445
0.057,6650.0,PUT,41.75,0.5,36.71,-5.04,0.2042,0.1935
0.057,6860.0,PUT,89.15,0.5,88.28,-0.87,0.1686,0.1673
0.057,7025.0,CALL,42.55,0.5,47.78,5.23,0.1347,0.1437
0.06,5175.0,PUT,1.73,0.15,0.03,-1.7,0.483,0.3331
0.06,5340.0,PUT,2.17,0.15,0.05,-2.12,0.4483,0.3149
0.06,5510.0,PUT,2.92,0.15,0.13,-2.79,0.4154,0.2995
0.06,5675.0,PUT,3.75,0.1,0.33,-3.42,0.3808,0.2855
0.06,5840.0,PUT,5.05,0.1,0.8,-4.25,0.348,0.2715
0.06,6010.0,PUT,7.0,0.2,1.94,-5.06,0.3141,0.2568
0.06,6145.0,PUT,9.5,0.2,3.82,-5.68,0.2886,0.2446
0.06,6245.0,PUT,12.4,0.2,6.21,-6.19,0.2712,0.2353
0.06,6345.0,PUT,16.45,0.3,9.97,-6.48,0.2541,0.2257
0.06,6445.0,PUT,22.5,0.2,15.78,-6.72,0.238,0.2156
0.06,6545.0,PUT,31.15,0.3,24.62,-6.53,0.222,0.2051
0.06,6645.0,PUT,43.4,0.4,37.87,-5.53,0.2054,0.194
0.06,6740.0,PUT,60.8,0.4,56.19,-4.61,0.1907,0.1827
0.06,6840.0,PUT,85.9,0.4,83.78,-2.12,0.1731,0.1699
0.06,6940.0,CALL,87.95,0.5,89.77,1.82,0.1533,0.156
0.06,7040.0,CALL,40.1,0.4,44.19,4.09,0.1345,0.1415
0.06,7140.0,CALL,13.35,0.3,16.82,3.47,0.1198,0.129
0.06,7240.0,CALL,3.45,0.3,5.14,1.69,0.1121,0.1215
0.06,7360.0,CALL,0.82,0.15,1.1,0.28,0.1146,0.1192
0.068,6200.0,PUT,12.2,0.4,6.9,-5.3,0.2682,0.2387
0.068,6700.0,PUT,55.2,0.4,53.82,-1.38,0.1895,0.1871
0.068,6950.0,CALL,84.9,0.6,91.68,6.78,0.1448,0.1544
0.068,7250.0,CALL,3.7,0.2,6.19,2.49,0.1088,0.1211
0.071,6325.0,PUT,18.3,0.4,12.83,-5.47,0.2474,0.2267
0.071,6800.0,PUT,79.75,0.5,80.26,0.51,0.1739,0.1747
0.071,6990.0,CALL,67.3,0.6,73.7,6.4,0.1395,0.1486
0.074,5200.0,PUT,2.42,0.15,0.08,-2.35,0.4482,0.3211
0.074,6575.0,PUT,40.6,0.4,36.5,-4.1,0.2094,0.2011
0.074,6920.0,CALL,107.9,0.6,112.99,5.09,0.1516,0.1585
0.074,7225.0,CALL,6.75,0.3,9.68,2.93,0.1121,0.1224
0.077,6450.0,PUT,29.6,0.4,23.98,-5.62,0.2284,0.214
0.077,6900.0,CALL,123.2,0.6,127.12,3.92,0.156,0.1612
0.077,7225.0,CALL,7.95,0.3,10.42,2.47,0.1143,0.1224
0.079,5875.0,PUT,8.35,0.3,2.56,-5.79,0.321,0.2657
0.079,6360.0,PUT,24.8,0.4,18.09,-6.71,0.2428,0.2227
0.079,6530.0,PUT,39.75,0.3,33.88,-5.87,0.2178,0.2055
0.079,6690.0,PUT,63.95,1.9,59.52,-4.43,0.1947,0.1878
0.079,6825.0,PUT,94.45,0.5,93.87,-0.58,0.1719,0.1711
0.079,6925.0,CALL,112.1,0.6,114.55,2.45,0.1545,0.1576
0.079,7025.0,CALL,60.15,0.5,63.76,3.61,0.1385,0.1436
0.079,7175.0,CALL,15.95,0.3,18.39,2.44,0.1204,0.126
0.088,5400.0,PUT,4.25,0.3,0.47,-3.78,0.3921,0.3021
0.088,6550.0,PUT,43.95,0.5,40.99,-2.96,0.2085,0.203
