T,K,Type,Bid,Ask,Spread,Weight,Market,Model,Err,IV_Mkt,IV_Model
0.0536,200.0,PUT,0.07,0.08,0.01,100.0,0.075,0.1044,0.0294,0.5852,0.6092
0.0536,205.0,PUT,0.08,0.1,0.02,49.99999999999999,0.09,0.1251,0.0351,0.558,0.5819
0.0536,210.0,PUT,0.1,0.12,0.02,50.00000000000003,0.11,0.1484,0.0384,0.5321,0.5538
0.0536,215.0,PUT,0.13,0.15,0.02,50.00000000000003,0.14,0.1744,0.0344,0.5089,0.5249
0.0536,220.0,PUT,0.16,0.18,0.02,50.00000000000003,0.17,0.2036,0.0336,0.4822,0.4953
0.0536,230.0,PUT,0.25,0.26,0.01,99.99999999999991,0.255,0.2754,0.0204,0.4291,0.4346
0.0536,235.0,PUT,0.31,0.34,0.03,33.33333333333331,0.325,0.3234,-0.0016,0.4046,0.4043
0.0536,240.0,PUT,0.4,0.42,0.02,50.00000000000009,0.41,0.388,-0.022,0.3788,0.3748
0.0536,245.0,PUT,0.52,0.54,0.02,49.99999999999996,0.53,0.4834,-0.0466,0.3539,0.347
0.0536,250.0,PUT,0.7,0.73,0.03,33.33333333333331,0.715,0.6352,-0.0798,0.3313,0.3221
0.0536,260.0,PUT,1.41,1.47,0.06,16.666666666666654,1.44,1.3017,-0.1383,0.2921,0.2825
0.0536,265.0,PUT,2.12,2.18,0.06,16.666666666666654,2.15,1.9767,-0.1733,0.2772,0.2677
0.0536,270.0,PUT,3.2,3.3,0.1,10.000000000000036,3.25,3.03,-0.22,0.2655,0.2555
0.0536,285.0,CALL,3.25,3.35,0.1,9.999999999999991,3.3,3.3527,0.0527,0.228,0.2302
0.0536,290.0,CALL,1.77,1.88,0.11,9.0909090909091,1.825,1.8984,0.0734,0.2215,0.2252
0.0536,300.0,CALL,0.51,0.54,0.03,33.33333333333331,0.525,0.5037,-0.0213,0.224,0.2218
0.0536,305.0,CALL,0.27,0.3,0.03,33.333333333333364,0.285,0.2543,-0.0307,0.2296,0.2246
0.0536,310.0,CALL,0.16,0.18,0.02,50.00000000000003,0.17,0.1383,-0.0317,0.2393,0.2314
0.0536,315.0,CALL,0.09,0.11,0.02,49.99999999999999,0.1,0.0862,-0.0138,0.2479,0.2427
0.0728,195.0,PUT,0.09,0.11,0.02,49.99999999999999,0.1,0.1187,0.0187,0.5567,0.5687
0.0728,205.0,PUT,0.14,0.16,0.02,50.00000000000003,0.15,0.1722,0.0222,0.5128,0.5226
0.0728,210.0,PUT,0.17,0.2,0.03,33.333333333333336,0.185,0.2046,0.0196,0.4914,0.4986
0.0728,215.0,PUT,0.21,0.24,0.03,33.333333333333336,0.225,0.2417,0.0167,0.469,0.4741
0.0728,220.0,PUT,0.26,0.28,0.02,49.99999999999996,0.27,0.2846,0.0146,0.4454,0.4492
0.0728,225.0,PUT,0.31,0.34,0.03,33.33333333333331,0.325,0.3357,0.0107,0.4218,0.4242
0.0728,235.0,PUT,0.48,0.51,0.03,33.33333333333331,0.495,0.4822,-0.0128,0.3771,0.3752
0.0728,240.0,PUT,0.61,0.64,0.03,33.33333333333331,0.625,0.597,-0.028,0.3558,0.3523
0.0728,245.0,PUT,0.79,0.82,0.03,33.33333333333343,0.805,0.7631,-0.0419,0.3353,0.3311
0.0728,250.0,PUT,1.05,1.08,0.03,33.33333333333331,1.065,1.0108,-0.0542,0.3164,0.312
0.0728,260.0,PUT,2.0,2.06,0.06,16.666666666666654,2.03,1.9424,-0.0876,0.2852,0.2805
0.0728,265.0,PUT,2.83,2.91,0.08,12.49999999999999,2.87,2.7643,-0.1057,0.2724,0.2678
0.0728,270.0,PUT,4.0,4.15,0.15,6.666666666666651,4.075,3.9409,-0.1341,0.2618,0.2568
0.0728,285.0,CALL,4.2,4.3,0.1,10.000000000000036,4.25,4.3949,0.1449,0.2271,0.2322
0.0728,290.0,CALL,2.51,2.65,0.14,7.142857142857136,2.58,2.75,0.17,0.22,0.2269
0.0728,300.0,CALL,0.84,0.88,0.04,24.99999999999998,0.86,0.9288,0.0688,0.2169,0.2217
0.0728,305.0,CALL,0.48,0.51,0.03,33.33333333333331,0.495,0.52,0.025,0.2198,0.2223
0.0728,310.0,CALL,0.28,0.31,0.03,33.333333333333364,0.295,0.296,0.001,0.2252,0.2253
0.0728,315.0,CALL,0.17,0.2,0.03,33.333333333333336,0.185,0.1781,-0.0069,0.2327,0.2312
0.0728,320.0,CALL,0.11,0.13,0.02,49.99999999999999,0.12,0.1169,-0.0031,0.2409,0.24
0.092,205.0,PUT,0.2,0.23,0.03,33.333333333333336,0.215,0.2226,0.0076,0.4809,0.4834
0.092,210.0,PUT,0.24,0.28,0.04,24.99999999999998,0.26,0.2659,0.0059,0.4609,0.4625
0.092,215.0,PUT,0.29,0.33,0.04,24.99999999999998,0.31,0.3167,0.0067,0.4398,0.4413
0.092,220.0,PUT,0.35,0.39,0.04,24.99999999999998,0.37,0.3775,0.0075,0.4186,0.4201
0.092,225.0,PUT,0.43,0.47,0.04,25.000000000000014,0.45,0.4523,0.0023,0.3986,0.399
0.092,235.0,PUT,0.66,0.7,0.04,25.000000000000046,0.68,0.6735,-0.0065,0.3594,0.3586
0.092,240.0,PUT,0.83,0.88,0.05,19.999999999999982,0.855,0.845,-0.01,0.3409,0.34
0.092,245.0,PUT,1.07,1.12,0.05,19.999999999999982,1.095,1.0841,-0.0109,0.3235,0.3227
0.092,250.0,PUT,1.41,1.46,0.05,19.999999999999982,1.435,1.4215,-0.0135,0.3077,0.3069
0.092,255.0,PUT,1.88,1.95,0.07,14.285714285714272,1.915,1.8988,-0.0162,0.2934,0.2926
0.092,265.0,PUT,3.45,3.6,0.15,6.6666666666666705,3.525,3.4976,-0.0274,0.2693,0.2682
0.092,270.0,PUT,4.75,4.9,0.15,6.666666666666651,4.825,4.7574,-0.0676,0.2602,0.258
0.092,285.0,CALL,5.1,5.2,0.1,9.999999999999947,5.15,5.3512,0.2012,0.2277,0.2339
0.092,290.0,CALL,3.3,3.4,0.1,9.999999999999991,3.35,3.5685,0.2185,0.2209,0.2284
0.092,295.0,CALL,2.05,2.12,0.07,14.285714285714228,2.085,2.2805,0.1955,0.2165,0.2245
0.092,305.0,CALL,0.75,0.79,0.04,24.99999999999998,0.77,0.8532,0.0832,0.216,0.2218
0.092,310.0,CALL,0.46,0.5,0.04,25.000000000000014,0.48,0.5163,0.0363,0.2197,0.2232
0.092,315.0,CALL,0.29,0.33,0.04,24.99999999999998,0.31,0.3194,0.0094,0.2254,0.2266
0.092,320.0,CALL,0.19,0.22,0.03,33.333333333333336,0.205,0.2065,0.0015,0.2318,0.232
0.1111,200.0,PUT,0.22,0.24,0.02,50.00000000000003,0.23,0.2305,0.0005,0.4736,0.4738
0.1111,205.0,PUT,0.26,0.28,0.02,49.99999999999996,0.27,0.2782,0.0082,0.4536,0.4557
0.1111,210.0,PUT,0.31,0.33,0.02,49.99999999999996,0.32,0.3347,0.0147,0.4341,0.4373
0.1111,215.0,PUT,0.38,0.4,0.02,49.99999999999996,0.39,0.4023,0.0123,0.4166,0.4189
0.1111,220.0,PUT,0.45,0.47,0.02,50.00000000000009,0.46,0.4848,0.0248,0.3967,0.4005
0.1111,230.0,PUT,0.67,0.7,0.03,33.33333333333343,0.685,0.7195,0.0345,0.3613,0.365
0.1111,235.0,PUT,0.84,0.87,0.03,33.33333333333331,0.855,0.8917,0.0367,0.3449,0.3482
0.1111,240.0,PUT,1.06,1.09,0.03,33.33333333333331,1.075,1.1209,0.0459,0.3289,0.3324
0.1111,245.0,PUT,1.37,1.4,0.03,33.33333333333355,1.385,1.4296,0.0446,0.3147,0.3175
